bibcode	title	author	aff	aff_id	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2022MNRAS.514.5840P	['The formation of low surface brightness galaxies in the IllustrisTNG simulation']	['Pérez-Montaño, Luis Enrique', 'Rodriguez-Gomez, Vicente', 'Cervantes Sodi, Bernardo', 'Zhu, Qirong', 'Pillepich, Annalisa', 'Vogelsberger, Mark', 'Hernquist, Lars']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México,Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México,Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México,Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, Mexico', 'McWilliams Center for Cosmology, Department of Physics, Carnegie Mellon University,Pittsburgh, PA 15213, USA', 'Max-Planck-Institut für Astronomie, Königstuhl 17, D-69117 Heidelberg, Germany', 'Department of Physics, Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA', 'Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, Cambridge, MA 02138, USA']	['-', '-', '-', 'A11088', 'A01570', 'A11012', 'A01400']	2022	Monthly Notices of the Royal Astronomical Society	514	['5840']	2022-08-00	2022-08-01T00:00:00Z	['MNRAS', 'MNRAS.514']		0	article		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['galaxies fundamental parameters', 'galaxies evolution', 'galaxies formation', 'galaxies halos', 'galaxies statistics', 'galaxies structure', '-', '-']	('Cervantes Sodi, Bernardo', 98)	
2021MNRAS.505.2074A	['Star cluster survival in dark matter haloes: an old cluster in Eridanus II?']	['Alzate, Jairo A.', 'Lora, Verónica', 'Bruzual, Gustavo', 'Lomelí-Núñez, Luis', 'Cervantes Sodi, Bernardo']	['Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Michoacán, C.P. 58089, México', 'Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Michoacán, C.P. 58089, México', 'Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Michoacán, C.P. 58089, México', 'Instituto Nacional de Astrofísica, Optica y Electrónica, Calle Luis Enrique Erro, No 1, Tonantzintla, Puebla, C.P. 72840, México', 'Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Michoacán, C.P. 58089, México']	['A01194', 'A01194', 'A01194', 'A05081', 'A01194']	2021	Monthly Notices of the Royal Astronomical Society	505	['2074']	2021-08-00	2021-08-01T00:00:00Z	['MNRAS', 'MNRAS.505']	['2021A&A...648A..70F', '2021ApJ...923..146G', '2022ApJ...925....6F']	3	article	['-', '-', '0000-0002-6971-5755', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['galaxies star clusters', 'galaxies star clusters', 'galaxies statistics', 'galaxies stellar content', '-']	('Cervantes Sodi, Bernardo', 98)	('0000-0002-6971-5755', 70)
2018ApJ...863..107D	['A Test of MONDian Gravity in ∼300 Pressure-supported Elliptical Galaxies from the MaNGA Survey']	['Durazo, R.', 'Hernandez, X.', 'Cervantes Sodi, B.', 'Sanchez, S. F.']	['Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F. México', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F. México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autonoma de México, Campus Morelia, 58090 Morelia, Michoacán, México', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F. México']	['A01186', 'A01186', 'A01194', 'A01186']	2018	The Astrophysical Journal	863	['107']	2018-08-00	2018-08-01T00:00:00Z	['ApJ', 'ApJ...863']	['2019A&A...629L...5B', '2019IJMPD..2850101H', '2019MNRAS.482.2471S', '2019MNRAS.483..147H', '2019PhRvD..99d4041M', '2019SerAJ.199....1S', '2020ARep...64..295Z', '2020ApJ...903L..31C', '2020MNRAS.491..272H', '2020arXiv200912915E', '2021ApJ...917L..24T', '2022A&A...657A.133C', '2022MNRAS.509.2304H', '2022MNRAS.510.2167S']	14	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies fundamental parameters', 'galaxies kinematics and dynamics', 'gravitation', 'stars kinematics and dynamics', '-']	('Cervantes Sodi, B.', 80)	
2017ApJ...848..132F	['GASP. III. JO36: A Case of Multiple Environmental Effects at Play?']	['Fritz, Jacopo', 'Moretti, Alessia', 'Gullieuszik, Marco', 'Poggianti, Bianca', 'Bruzual, Gustavo', 'Vulcani, Benedetta', 'Nicastro, Fabrizio', 'Jaffé, Yara', 'Cervantes Sodi, Bernardo', 'Bettoni, Daniela', 'Biviano, Andrea', 'Fasano, Giovanni', 'Charlot, Stéphane', 'Bellhouse, Callum', 'Hau, George']	"['Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, A.P. 3-72, C.P. 58089, Mexico', ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", 'Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, A.P. 3-72, C.P. 58089, Mexico', ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy; School of Physics, The University of Melbourne, Swanston St. &amp; Tin Alley Parkville, VIC 3010, Australia"", 'INAF-Osservatorio Astronomico di Roma, Via di Frascati 33, I-00040 Monte Porzio Catone, RM, Italy', 'INAF-Osservatorio Astronomico di Trieste, via G. B. Tiepolo 11, I-34131, Trieste, Italy', 'Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, A.P. 3-72, C.P. 58089, Mexico', ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", 'INAF-Osservatorio Astronomico di Trieste, via G. B. Tiepolo 11, I-34131, Trieste, Italy', ""INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Sorbonne Universités, UPMC-CNRS, UMR7095, Institut d'Astrophysique de Paris, F-75014 Paris, France"", 'University of Birmingham, School of Physics and Astronomy, Edgbaston, Birmingham, UK ; European Southern Observatory, Alonso de Cordova 3107, Vitacura, Casilla 19001, Santiago de Chile, Chile', 'European Southern Observatory, Alonso de Cordova 3107, Vitacura, Casilla 19001, Santiago de Chile, Chile']"	['A01194', 'A03972', 'A03972', 'A03972', 'A01194', 'A03972; A11671', 'A03976', 'A03978', 'A01194', 'A03972', 'A03978', 'A03972', 'A02937', 'A00190; A03998', 'A03998']	2017	The Astrophysical Journal	848	['132']	2017-10-00	2017-10-01T00:00:00Z	['ApJ', 'ApJ...848']	['2017A&A...606A..83C', '2017ApJ...844...48P', '2017ApJ...846...27G', '2017ApJ...850..163V', '2017Msngr.170...29P', '2017Natur.548..304P', '2018A&A...614A..57F', '2018A&A...615A.114B', '2018A&A...620A..15G', '2018A&A...620A.164B', '2018ApJ...852...94V', '2018ApJ...866L..25V', '2018MNRAS.475.4055M', '2018MNRAS.480.2508M', '2018MNRAS.480.3152V', '2019A&A...625A.112G', '2019ApJ...872...50L', '2019ApJ...873...52O', '2019ApJ...887..155P', '2019MNRAS.482.4466P', '2019MNRAS.483.2382W', '2019MNRAS.485.1157B', '2019MNRAS.486..486R', '2019MNRAS.487.2278V', '2019MNRAS.487.3102G', '2019MNRAS.487.5593I', '2019MNRAS.487L..61Z', '2019MNRAS.488.1597V', '2020ApJ...889....9M', '2020ApJ...892..146V', '2020ApJ...895..106F', '2020ApJ...899...13G', '2020ApJ...899...98V', '2020IAUS..341...83I', '2020MNRAS.493.6011M', '2020MNRAS.494.5029D', '2020MNRAS.496.3841V', '2020MNRAS.499.1172Z', '2021A&A...655A.104P', '2021ApJ...907...22T', '2021ApJ...914...27V', '2021ApJ...922..131T', '2021ApJ...922L...6F', '2021ApJ...923...28F', '2021ApJ...923..222M', '2021IAUS..359..108P', '2021MNRAS.500.1285B', '2022ApJ...924...64I', '2022ApJ...925....4M', '2022ApJ...927...91V', '2022ApJ...927..130P', '2022ApJ...930...43W', '2022ApJ...936...74B', '2022ApJ...937...18B', '2022ApJ...937...58I']	55	article	['-', '0000-0002-1688-482X', '-', '-', '0000-0002-6971-5755', '0000-0003-0980-1499', '-', '0000-0003-2150-1130', '-', '-', '0000-0002-0857-0732', '-', '-', '-', '-']	['ARTICLE', 'ASSOCIATED', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies clusters', 'galaxies evolution', 'galaxies general', 'galaxies intergalactic medium', 'galaxies kinematics and dynamics', '-']	('Cervantes Sodi, Bernardo', 98)	('0000-0002-0857-0732', 74)
2017ApJ...847...37C	['Do Low Surface Brightness Galaxies Host Stellar Bars?']	['Cervantes Sodi, Bernardo', 'Sánchez García, Osbaldo']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia, A.P. 3-72, C.P. 58089 Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia, A.P. 3-72, C.P. 58089 Michoacán, México']	['A01194', 'A01194']	2017	The Astrophysical Journal	847	['37']	2017-09-00	2017-09-01T00:00:00Z	['ApJ', 'ApJ...847']	['2018MNRAS.476.2938P', '2018MNRAS.478.4657P', '2019AJ....157..175V', '2019MNRAS.484..850P', '2019MNRAS.490.3772P', '2019arXiv191004298P', '2022MNRAS.514.2497K', '2022MNRAS.514.5840P']	8	article		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies fundamental parameters', 'galaxies general', 'galaxies spiral', 'galaxies statistics', 'galaxies structure', '-']	('Cervantes Sodi, Bernardo', 98)	
2017ApJ...837..179D	['A Universal Velocity Dispersion Profile for Pressure Supported Systems: Evidence for MONDian Gravity across Seven Orders of Magnitude in Mass']	['Durazo, R.', 'Hernandez, X.', 'Cervantes Sodi, B.', 'Sánchez, S. F.']	['Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F., México', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F., México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia, A.P. 3-72, C.P. 58089 Michoacán, México', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Apartado Postal 70-264 C.P. 04510 México D.F., México']	['A01186', 'A01186', 'A01194', 'A01186']	2017	The Astrophysical Journal	837	['179']	2017-03-00	2017-03-01T00:00:00Z	['ApJ', 'ApJ...837']	['2017EPJP..132..361B', '2017MNRAS.469.1630H', '2017MNRAS.470.1086C', '2018ApJ...853...60W', '2018ApJ...863..107D', '2018MNRAS.480.1778P', '2018MNRAS.480.2660B', '2019A&A...629L...5B', '2019MNRAS.487.4012W', '2019SerAJ.199....1S', '2019arXiv190805412S', '2020MNRAS.491..272H', '2022A&A...657A.133C', '2022Symm...14.1331B']	14	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies fundamental parameters', 'galaxies kinematics and dynamics', '-', 'gravitation', 'stars kinematics and dynamics', '-']	('Cervantes Sodi, B.', 80)	
2015ApJ...807..111C	['Dark Matter Halos of Barred Disk Galaxies']	['Cervantes Sodi, Bernardo', 'Li, Cheng', 'Park, Changbom']	['Centro de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia, A.P. 3-72, C.P. 58089 Michoacán, México; Korea Institute for Advanced Study, Dongdaemun-gu, Seoul 130-722, Korea;', 'Key Laboratory for Research in Galaxies and Cosmology of Chinese Academy of Sciences, Shanghai Astronomical Observatory, Nandan Road 80, Shanghai 200030, China', 'Korea Institute for Advanced Study, Dongdaemun-gu, Seoul 130-722, Korea']	['A01194; A04217', 'A04828', 'A04217']	2015	The Astrophysical Journal	807	['111']	2015-07-00	2015-07-01T00:00:00Z	['ApJ', 'ApJ...807']	['2014ApJ...796...98L', '2016A&A...587A.160D', '2016A&A...596A..84D', '2016ASSP...42...85C', '2016ApJ...826..227L', '2017ApJ...835...80C', '2017ApJ...847...37C', '2018MNRAS.478.4657P', '2019MNRAS.488..609I', '2020A&A...638A.133L', '2020ApJ...904..170Z', '2020MNRAS.491.2547R', '2021AJ....161..260Z', '2022MNRAS.514.1006I', '2022MNRAS.514.2497K']	15	article		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies fundamental parameters', 'galaxies halos', 'galaxies spiral', 'galaxies statistics', 'galaxies structure', '-']	('Cervantes Sodi, Bernardo', 98)	
