bibcode	title	author	aff	aff_id	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match
2021MNRAS.507.3030J	['Dust in RCW 58: Clues to common envelope channel formation?']	['Jiménez-Hernández, P.', 'Arthur, S. J.', 'Toalá, J. A.', 'Marston, A. P.']	['Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'European Space Astronomy Centre, ESA, PO Box 78, E-28691 Villanueva de la Cañada, Madrid, Spain']	['A01194', 'A01194', 'A01194', 'A04642']	2021	Monthly Notices of the Royal Astronomical Society	507	['3030']	2021-10-00	2021-10-01T00:00:00Z	['MNRAS', 'MNRAS.507']	['2022MNRAS.509..974G', '2022MNRAS.513.3317Z']	2	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars circumstellar matter', '-', '-', 'stars winds outflows', 'hydrodynamics', 'stars wolf rayet', 'dust', 'ism dust extinction', '-', '-']	('Arthur, S. J.', 86)	
2020MNRAS.497.4128J	['Dust in the Wolf-Rayet nebula M 1-67']	['Jiménez-Hernández, P.', 'Arthur, S. J.', 'Toalá, J. A.']	['Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico']	['A01194', 'A01194', 'A01194']	2020	Monthly Notices of the Royal Astronomical Society	497	['4128']	2020-10-00	2020-10-01T00:00:00Z	['MNRAS', 'MNRAS.497']	['2020MNRAS.499..415R', '2021MNRAS.503.1543T', '2021MNRAS.507.3030J', '2022MNRAS.509..974G', '2022MNRAS.513.3317Z']	5	article	['-', '0000-0002-5456-4472', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars circumstellar matter', '-', '-', '-', 'stars luminosity function;mass function', '-', '-']	('Arthur, S. J.', 86)	('0000-0002-5456-4472', 100)
2020ApJ...900L...3R	['A Radio Pinwheel Emanating from WR 147']	['Rodríguez, Luis F.', 'Arthur, Jane', 'Montes, Gabriela', 'Carrasco-González, Carlos', 'Toalá, Jesús A.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72 (Xangari), 58089 Morelia, Michoacán, México; Mesoamerican Center for Theoretical Physics, Universidad Autónoma de Chiapas, Carretera Emiliano Zapata Km. 4, Real del Bosque (Terán), 29050 Tuxtla Gutiérrez, Chiapas, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72 (Xangari), 58089 Morelia, Michoacán, México', 'Unaffiliated', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72 (Xangari), 58089 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72 (Xangari), 58089 Morelia, Michoacán, México']	['A01194; -', 'A01194', '-', 'A01194', 'A01194']	2020	The Astrophysical Journal	900	['L3']	2020-09-00	2020-09-01T00:00:00Z	['ApJL', 'ApJL..900']	['2022ApJ...933....5I', '2022MNRAS.509.2532C']	2	article	['-', '-', '-', '-', '-']	['ARTICLE', 'ASSOCIATED', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['stars binaries general', 'stars wolf rayet', 'stars winds outflows', '-', '-', '-', '-', '-']	('Arthur, Jane', 86)	('-', 0)
2019MNRAS.489.2142H	['Bow shocks, bow waves, and dust waves - III. Diagnostics']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	['A01194', 'A01194']	2019	Monthly Notices of the Royal Astronomical Society	489	['2142']	2019-10-00	2019-10-01T00:00:00Z	['MNRAS', 'MNRAS.489']	['2019A&A...631A.170R', '2019MNRAS.486.3423H', '2019arXiv190700122H', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021A&A...647A..28K', '2021A&A...650A..36B', '2021MNRAS.506.5170M', '2022A&A...663A..10B', '2022A&A...663A..80M', '2022MNRAS.511.5104M', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	13	article	['0000-0001-6208-9109', '0000-0002-5456-4472']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars circumstellar matter', 'stars winds outflows', 'hydrodynamics', 'astronomy infrared', '-', '-']	('Arthur, S. J.', 86)	('0000-0002-5456-4472', 100)
2019MNRAS.486.4423H	['Bow shocks, bow waves, and dust waves - II. Beyond the rip point']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	['A01194', 'A01194']	2019	Monthly Notices of the Royal Astronomical Society	486	['4423']	2019-07-00	2019-07-01T00:00:00Z	['MNRAS', 'MNRAS.486']	['2019A&A...631A.170R', '2019MNRAS.486.3423H', '2019MNRAS.489.2142H', '2019arXiv190700122H', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021A&A...650A..36B', '2021ApJ...909...62P', '2021MNRAS.500.4319S', '2021MNRAS.506.5170M', '2021MNRAS.507.3030J', '2022A&A...663A..10B', '2022A&A...663A..80M', '2022MNRAS.513.3317Z', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	16	article	['0000-0001-6208-9109', '0000-0002-5456-4472']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['radiation', 'stars circumstellar matter', 'stars winds outflows', 'hydrodynamics', '-', '-']	('Arthur, S. J.', 86)	('0000-0002-5456-4472', 100)
2019MNRAS.486.3423H	['Bow shocks, bow waves, and dust waves - I. Strong coupling limit']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	['A01194', 'A01194']	2019	Monthly Notices of the Royal Astronomical Society	486	['3423']	2019-07-00	2019-07-01T00:00:00Z	['MNRAS', 'MNRAS.486']	['2019A&A...631A.170R', '2019AJ....158...73K', '2019MNRAS.486.4423H', '2019MNRAS.488.1141J', '2019MNRAS.489.2142H', '2019arXiv190601201K', '2019arXiv190700122H', '2020A&A...642A..21R', '2020ApJS..251...29C', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021MNRAS.500.4319S', '2021MNRAS.506.5170M', '2022A&A...663A..10B', '2022AJ....164...86K', '2022ApJ...924..138P', '2022ApJ...934...32M', '2022MNRAS.515.1544S', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	20	article	['0000-0001-6208-9109', '0000-0002-5456-4472']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['stars circumstellar matter', 'stars winds outflows', 'hydrodynamics', '-', '-']	('Arthur, S. J.', 86)	('0000-0002-5456-4472', 100)
2019arXiv190700122H	['Bow shocks, bow waves, and dust waves. IV. Shell shape statistics']	['Henney, William J.', 'Tarango-Yong, Jorge A.', 'Ángel Gutiérrez-Soto, Luis', 'Arthur, S. J.']	['-', '-', '-', '-']	['-', '-', '-', '-']	2019	arXiv e-prints		['arXiv:1907.00122']	2019-06-00	2019-06-01T00:00:00Z	['arXiv', 'arXiv1907']	['2021MNRAS.506.5170M', '2022SSRv..218...29H']	2	eprint	['0000-0001-6208-9109', '-', '0000-0002-9891-8017', '-']	['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS']	['-', '-']	('Arthur, S. J.', 86)	('0000-0002-9891-8017', 63)
2018Galax...6...80T	['Simulations of the Formation and X-Ray Emission from Hot Bubbles in Planetary Nebulae']	['Toalá, Jesus', 'Arthur, S.']	['-', '-']	['-', '-']	2018	Galaxies	6	['80']	2018-07-00	2018-07-01T00:00:00Z	['Galax', 'Galax...6']		0	article	['-', '0000-0002-5456-4472']	['ARTICLE', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']		('Arthur, S.', 90)	('0000-0002-5456-4472', 100)
2018MNRAS.478.1218T	['On the X-ray temperature of hot gas in diffuse nebulae']	['Toalá, J. A.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica, UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico']	['A01194', 'A01194']	2018	Monthly Notices of the Royal Astronomical Society	478	['1218']	2018-07-00	2018-07-01T00:00:00Z	['MNRAS', 'MNRAS.478']	['2018Galax...6...80T', '2019A&A...625A...4G', '2019ARA&A..57..227K', '2019ApJ...884L..49P', '2019ApJ...886...30T', '2020Galax...8...24G', '2020MNRAS.494.3784T', '2020MNRAS.495.3041T', '2020MNRAS.495.3819A', '2021ApJ...914...89L', '2021MNRAS.502.4658T', '2021MNRAS.503.1543T', '2022A&A...665A..35G', '2022PASP..134b2001K', '2022arXiv220701263S']	15	article	['-', '0000-0002-5456-4472']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['-', 'stars low mass brown dwarfs', '-', 'ism bubbles', '-', 'ism planetary nebulae', 'astronomy x rays', '-', '-']	('Arthur, S. J.', 86)	('0000-0002-5456-4472', 100)
2018JPhCS1031a2003A	['X-Ray Emitting Gas in Circumstellar Nebulae']	['Arthur, Jane']	['Instituto de Radioastronomía y Astrofísica, UNAM Campus Morelia, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	['A01194']	2018	Journal of Physics Conference Series	1031	['012003']	2018-05-00	2018-05-01T00:00:00Z	['JPhCS', 'JPhCS1031']		0	inproceedings	['0000-0002-5456-4472']	['ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS']		('Arthur, Jane', 86)	('0000-0002-5456-4472', 100)
