bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid	property	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2022MNRAS.509..224M	['Using our newest VLT-KMOS HII galaxies and other cosmic tracers to test the Lambda cold dark matter tension']	['Mehrabi, Ahmad', 'Basilakos, Spyros', 'Tsiapi, Pavlina', 'Plionis, Manolis', 'Terlevich, Roberto', 'Terlevich, Elena', 'Gonzalez Moran, Ana Luisa', 'Chavez, Ricardo', 'Bresolin, Fabio', 'Fernandez Arenas, David', 'Telles, Eduardo']	['Department of Physics, Bu-Ali Sina University, Hamedan, 65178, 016016, Iran', 'Academy of Athens, Research Center for Astronomy &amp; Applied Mathematics, Soranou Efessiou 4, 11-527, Athens, Greece; National Observatory of Athens, Lofos Nymfon, 11852 Athens, Greece', 'Institute for Astronomy Astrophysics Space Applications and Remote Sensing, National Technical University of Athens, 9 Iroon Polytechniou Street, 15780, Greece', 'National Observatory of Athens, Lofos Nymfon, 11852 Athens, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece', 'Instituto Nacional de Astrofísica, Optica y Electrónica, Tonantzintla, C.P. 72840, Puebla, México; Institute of Astronomy, University of Cambridge, Cambridge, CB3 0HA, UK', 'Instituto Nacional de Astrofísica, Optica y Electrónica, Tonantzintla, C.P. 72840, Puebla, México', 'Instituto Nacional de Astrofísica, Optica y Electrónica, Tonantzintla, C.P. 72840, Puebla, México', 'CONACyT-Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, C.P. 58089, Morelia, México', 'Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, 96822 Honolulu,HI USA', 'Instituto Nacional de Astrofísica, Optica y Electrónica, Tonantzintla, C.P. 72840, Puebla, México; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China', 'Observatorio Nacional, Rua José Cristino 77, 20921-400 Rio de Janeiro, Brasil']	2022	Monthly Notices of the Royal Astronomical Society	509	['224']	2022-01-00	2022-01-01T00:00:00Z	['MNRAS', 'MNRAS.509']	['2022ApJ...932..121M', '2022EPJC...82..806M', '2022Galax..10...24D', '2022MNRAS.512..439C', '2022MNRAS.513.1985K', '2022MNRAS.513.5686C', '2022MNRAS.514.5827S', '2022MNRAS.515.3729K', '2022MNRAS.516.1386C', '2022MNRAS.516.1721C', '2022arXiv220104993M', '2022arXiv220406118K']	12	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chavez, Ricardo', 100)	
2021yCat..18990162W	['VizieR Online Data Catalog: ANDICAM BVRIJHK light curve of Nova V906 Car (Wee+, 2020)']	['Wee, J.', 'Blagorodnova, N.', 'Penprase, B. E.', 'Facey, J. P.', 'Morioka, T.', 'Corbett, H.', 'Barlow, B. N.', 'Kupfer, T.', 'Law, N. M.', 'Ratzloff, J. K.', 'Howard, W. S.', 'Chavez, R. G.', 'Glazier, A.', 'Soto, A. V.', 'Horiuchi, T.']	['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	2021	VizieR Online Data Catalog		['J/ApJ/899/162']	2021-10-00	2021-10-01T00:00:00Z	['yCat', 'yCat..189']		0	catalog		['ASSOCIATED', 'DATA', 'NONARTICLE', 'NOT REFEREED']	('Chavez, R. G.', 71)	
2021MNRAS.506.5039T	['Cosmological constraints using the newest VLT-KMOS H II galaxies and the full Planck CMB spectrum']	['Tsiapi, Pavlina', 'Basilakos, Spyros', 'Plionis, Manolis', 'Terlevich, Roberto', 'Terlevich, Elena', 'Gonzalez Moran, Ana Luisa', 'Chavez, Ricardo', 'Bresolin, Fabio', 'Fernandez Arenas, David', 'Telles, Eduardo']	['National Technical University of Athens, 9 Iroon Polytechniou St, 15780 Zografou, Greece;', 'Academy of Athens Research Center for Astronomy and Applied Mathematics, Soranou Efessiou 4, 11527 Athens, Greece; National Observatory of Athens, P. Pendeli, Athens, 145 76, Greece', 'National Observatory of Athens, P. Pendeli, Athens, 145 76, Greece; Physics Department, Aristotle University of Thessaloniki, 54124 Thessaloniki, Greece', 'Instituto Nacional de Astrofísica, Optica y Electrónica, C.P. 72840 Tonantzintla, Puebla, Mexico; Institute of Astronomy, University of Cambridge, Cambridge CB3 0HA, UK;', 'Instituto Nacional de Astrofísica, Optica y Electrónica, C.P. 72840 Tonantzintla, Puebla, Mexico', 'Instituto Nacional de Astrofísica, Optica y Electrónica, C.P. 72840 Tonantzintla, Puebla, Mexico', 'CONACyT - Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, C.P. 58089 Morelia, Mexico;', 'Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822, USA;', 'Instituto Nacional de Astrofísica, Optica y Electrónica, C.P. 72840 Tonantzintla, Puebla, Mexico; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China;', 'Observatorio Nacional, Rua José Cristino 77, 20921-400 Rio de Janeiro, Brazil']	2021	Monthly Notices of the Royal Astronomical Society	506	['5039']	2021-10-00	2021-10-01T00:00:00Z	['MNRAS', 'MNRAS.506']	['2021Univ....7..263M', '2022MNRAS.509.4745C', '2022PhRvD.106d4040B']	3	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chavez, Ricardo', 100)	
2021MNRAS.505.5260M	['Early science with the Large Millimeter Telescope: a 1.1 mm AzTEC survey of red-Herschel dusty star-forming galaxies']	['Montaña, A.', 'Zavala, J. A.', 'Aretxaga, I.', 'Hughes, D. H.', 'Ivison, R. J.', 'Pope, A.', 'Sánchez-Argüelles, D.', 'Wilson, G. W.', 'Yun, M.', 'Cantua, O. A.', 'McCrackan, M.', 'Michałowski, M. J.', 'Valiante, E.', 'Arumugam, V.', 'Casey, C. M.', 'Chávez, R.', 'Colín-Beltrán, E.', 'Dannerbauer, H.', 'Dunlop, J. S.', 'Dunne, L.', 'Eales, S.', 'Ferrusca, D.', 'Gómez-Rivera, V.', 'Gómez-Ruiz, A. I.', 'de la Luz, V. H.', 'Maddox, S. J.', 'Narayanan, G.', 'Omont, A.', 'Rodríguez-Montoya, I.', 'Serjeant, S.', 'Schloerb, F. P.', 'Velázquez, M.', 'Ventura-González, S.', 'van der Werf, P.', 'Zeballos, M.']	"['Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Department of Astronomy, The University of Texas at Austin, 2515 Speedway Blvd Stop C1400, Austin, TX 78712, USA', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'European Southern Observatory, Karl-Schwarzschild-Straße 2, D-85748 Garching, Germany', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', 'Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', 'Department of Astronomy, The University of Texas at Austin, 2515 Speedway Blvd Stop C1400, Austin, TX 78712, USA', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', 'Astronomical Observatory Institute, Faculty of Physics, Adam Mickiewicz University, ul. Słoneczna 36, 60-286 Poznań, Poland', '1QB Information Technologies (1QBit), 1285 W Pender St Unit 200, Vancouver, BC V6E 4B1, Canada', ""Institut de Radioastronomie Millimétrique, Domaine Universitaire, 300 rue de la Piscine, F-38406 Saint-Martin-d'Hères, France"", 'Department of Astronomy, The University of Texas at Austin, 2515 Speedway Blvd Stop C1400, Austin, TX 78712, USA', 'Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Morelia C.P. 58089, México', 'Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Instituto de Astrofísica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain; Universidad de La Laguna, Dpto. Astrofísica, E-38206 La Laguna, Tenerife, Spain', 'Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh, EH9 3HJ, UK', 'School of Physics and Astronomy, Cardiff University, Queens Buildings, The Parade, Cardiff, CF24 3AA, UK', 'School of Physics and Astronomy, Cardiff University, Queens Buildings, The Parade, Cardiff, CF24 3AA, UK', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'Escuela Nacional de Estudios Superiores Unidad Morelia, Universidad Nacional Autónoma de México, Morelia, 58190, México', 'Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh, EH9 3HJ, UK; School of Physics and Astronomy, Cardiff University, Queens Buildings, The Parade, Cardiff, CF24 3AA, UK', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', ""Institut d'Astrophysique de Paris, 98bis Bd Arago, F-75014, Paris, France"", 'Consejo Nacional de Ciencia y Tecnología, Av. Insurgentes Sur 1582, Col. Crédito Constructor, Alcaldía Benito Juárez, C.P. 03940, Ciudad de México, México; Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', 'School of Physical Sciences, The Open University, Milton Keynes, MK7 6AA, UK', 'Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México', ""Department of Physics and Astronomy, University of Hawai'i at Manoa, Honolulu, Hawai'i 96822, USA"", 'Leiden Observatory, Leiden University, PO Box 9513, NL-2300 RA Leiden, the Netherlands', 'Instituto Nacional de Astrofísica Óptica y Electrónica, Luis Enrique Erro 1, Tonantzintla CP 72840, Puebla, México; Universidad de las Américas Puebla. Ex Hacienda Sta. Catarina Mártir S/N. San Andrés Cholula, Puebla 72810, México']"	2021	Monthly Notices of the Royal Astronomical Society	505	['5260']	2021-08-00	2021-08-01T00:00:00Z	['MNRAS', 'MNRAS.505']	['2022A&A...662A..85P', '2022arXiv220301049C']	2	article		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chávez, R.', 79)	
2021MNRAS.505.1441G	['Independent cosmological constraints from high-z H II galaxies: new results from VLT-KMOS data']	['González-Morán, Ana Luisa', 'Chávez, Ricardo', 'Terlevich, Elena', 'Terlevich, Roberto', 'Fernández-Arenas, David', 'Bresolin, Fabio', 'Plionis, Manolis', 'Melnick, Jorge', 'Basilakos, Spyros', 'Telles, Eduardo']	['Instituto Nacional de Astrofísica, Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México', 'CONACYT-Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, C.P. 58089, Morelia, México', 'Instituto Nacional de Astrofísica, Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México', 'Instituto Nacional de Astrofísica, Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México; Institute of Astronomy, University of Cambridge, Cambridge CB3 0HA, UK', 'Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China', 'Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822, USA', 'National Observatory of Athens, P. Pendeli, 15236 Athens, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece', 'European Southern Observatory, Av. Alonso de Cordova 3107, Santiago de Chile, Chile; Observatorio Nacional, Rua José Cristino 77, 20921-400 Rio de Janeiro, Brasil', 'Academy of Athens Research Center for Astronomy &amp; Applied Mathematics, Soranou Efessiou 4, 11-527 Athens, Greece', 'Observatorio Nacional, Rua José Cristino 77, 20921-400 Rio de Janeiro, Brasil']	2021	Monthly Notices of the Royal Astronomical Society	505	['1441']	2021-07-00	2021-07-01T00:00:00Z	['MNRAS', 'MNRAS.505']	['2021Galax...9...77L', '2021JCAP...09..042K', '2021JCAP...12..032L', '2021MNRAS.506.5039T', '2021MNRAS.508.4722K', '2022ApJ...936...21Z', '2022ApJS..260...12W', '2022MNRAS.509..224M', '2022MNRAS.509.4745C', '2022MNRAS.510.2753K', '2022MNRAS.510.2928C', '2022MNRAS.512..439C', '2022MNRAS.512.5122H', '2022MNRAS.513.1985K', '2022MNRAS.513.5686C', '2022MNRAS.514.5827S', '2022MNRAS.516.1386C', '2022MNRAS.516.1721C', '2022arXiv220300598M', '2022arXiv220406118K', '2022arXiv220807271W']	21	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chávez, Ricardo', 97)	
2021AAS...23731101C	['Star Formation in Super Star Clusters from the local Universe to high redshift']	['Chávez, R.', 'Bruzual, G.', 'González-Lópezlira, R. A.', 'Lizano, S.', 'Lora, V.']	['Institute of Radio Astronomy and Astrophysics (IRyA), National Autonomous University of Mexico (UNAM), Morelia, Mexico', 'Institute of Radio Astronomy and Astrophysics (IRyA), National Autonomous University of Mexico (UNAM), Morelia, Mexico', 'Institute of Radio Astronomy and Astrophysics (IRyA), National Autonomous University of Mexico (UNAM), Morelia, Mexico', 'Institute of Radio Astronomy and Astrophysics (IRyA), National Autonomous University of Mexico (UNAM), Morelia, Mexico', 'Institute of Radio Astronomy and Astrophysics (IRyA), National Autonomous University of Mexico (UNAM), Morelia, Mexico']	2021	American Astronomical Society Meeting Abstracts	53	['311.01']	2021-01-00	2021-01-01T00:00:00Z	['AAS', 'AAS...237']		0	abstract		['ESOURCE', 'NONARTICLE', 'NOT REFEREED']	('Chávez, R.', 79)	
2020MNRAS.495.4347B	['Internal kinematics of giant H II regions in M101 with the Keck Cosmic Web Imager']	['Bresolin, Fabio', 'Rizzi, Luca', 'Ho, I. -Ting', 'Terlevich, Roberto', 'Terlevich, Elena', 'Telles, Eduardo', 'Chávez, Ricardo', 'Basilakos, Spyros', 'Plionis, Manolis']	['Institute for Astronomy, 2680 Woodlawn Drive, Honolulu, HI 96822, USA', 'W.M. Keck Observatory, 65-1120 Mamalahoa Highway, Kamuela, HI 96743, USA', 'Max Planck Institut für Astronomie, Königstuhl 17, D-69117 Heidelberg, Germany', 'Instituto Nacional de Astrofiísica Óptica y Electrónica, AP 51 y 216, 72000 Puebla, México; Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK', 'Instituto Nacional de Astrofiísica Óptica y Electrónica, AP 51 y 216, 72000 Puebla, México', 'Observatorio Nacional, Rua José Cristino 77, 20921-400 Rio de Janeiro, Brasil', 'CONACYT-Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, C.P. 58089 Morelia, México', 'National Observatory of Athens, P.Pendeli 15236 Athens, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece', 'National Observatory of Athens, P.Pendeli 15236 Athens, Greece; Academy of Athens Research Center for Astronomy and Applied Mathematics, Soranou Efessiou 4, Athens 11-527, Greece']	2020	Monthly Notices of the Royal Astronomical Society	495	['4347']	2020-07-00	2020-07-01T00:00:00Z	['MNRAS', 'MNRAS.495']	['2020AstBu..75..361O', '2021A&A...646A.139B', '2021A&A...653A..11P', '2021ApJ...921..176B', '2021MNRAS.501.1370D', '2021MNRAS.504.6179E', '2021MNRAS.505.1441G', '2022ApJ...928...58L', '2022ApJ...929...74C']	9	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chávez, Ricardo', 97)	
2020MNRAS.494.3541H	['Chemodynamics of green pea galaxies - I. Outflows and turbulence driving the escape of ionizing photons and chemical enrichment']	['Hogarth, L.', 'Amorín, R.', 'Vílchez, J. M.', 'Hägele, G. F.', 'Cardaci, M.', 'Pérez-Montero, E.', 'Firpo, V.', 'Jaskot, A.', 'Chávez, R.']	"['University College London (UCL), London WC1E 6BT, UK', 'Instituto de Investigación Multidisciplinar en Ciencia y Tecnología, Universidad de La Serena, Raúl Bitrán 1305, La Serena, Chile; Departamento de Astronomía, Universidad de La Serena, Av. Juan Cisternas 1200 Norte, La Serena, Chile', 'Instituto de Astrofísica de Andalucía - CSIC, Glorieta de la Astronomía s.n., E-18008 Granada, Spain', 'Instituto de Astrofísica de La Plata (UNLP - CONICET), B1900FWA La Plata, Argentina', 'Instituto de Astrofísica de La Plata (UNLP - CONICET), B1900FWA La Plata, Argentina', 'Instituto de Astrofísica de Andalucía - CSIC, Glorieta de la Astronomía s.n., E-18008 Granada, Spain', ""NSF's National Optical-Infrared Astronomy Research Laboratory/Gemini Observatory, Casilla 603, La Serena, Chile"", 'Astronomy Department, Williams College, Williamstown, MA 01267, USA', 'CONACYT-Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, C.P. 58089, Morelia, México']"	2020	Monthly Notices of the Royal Astronomical Society	494	['3541']	2020-05-00	2020-05-01T00:00:00Z	['MNRAS', 'MNRAS.494']	['2020A&A...644A..21R', '2021ApJ...914....2K', '2021ApJ...916....3W', '2021ApJ...920L..46K', '2021MNRAS.505.1382M', '2022A&A...663A..29B', '2022A&A...663A..59S', '2022AJ....163..150K', '2022ApJ...926...55S', '2022ApJ...933..222X', '2022Galax..10...11H', '2022MNRAS.511.2515F', '2022arXiv220706146R', '2022arXiv220909047M']	14	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Chávez, R.', 79)	
2019MNRAS.487.4669G	['Independent cosmological constraints from high-z H II galaxies']	['González-Morán, Ana Luisa', 'Chávez, Ricardo', 'Terlevich, Roberto', 'Terlevich, Elena', 'Bresolin, Fabio', 'Fernández-Arenas, David', 'Plionis, Manolis', 'Basilakos, Spyros', 'Melnick, Jorge', 'Telles, Eduardo']	['Instituto Nacional de Astrofísica, Óptica y Electrónica,Tonantzintla, Puebla C.P. 72840, México', 'Instituto Nacional de Astrofísica, Óptica y Electrónica,Tonantzintla, Puebla C.P. 72840, México; Instituto de Radioastronomía y Astrofísica, UNAM, Campus Morelia, Morelia C.P. 58089, México; Cavendish Laboratory, University of Cambridge, 19 J. J. Thomson Ave, Cambridge CB3 0HE, UK; Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK', 'Instituto Nacional de Astrofísica, Óptica y Electrónica,Tonantzintla, Puebla C.P. 72840, México; Institute of Astronomy, University of Cambrige, Cambridge CB3 0HA, UK', 'Instituto Nacional de Astrofísica, Óptica y Electrónica,Tonantzintla, Puebla C.P. 72840, México', 'Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822, USA', 'Instituto Nacional de Astrofísica, Óptica y Electrónica,Tonantzintla, Puebla C.P. 72840, México; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China', 'National Observatory of Athens, P.Pendeli 15236, Athens, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece', 'National Observatory of Athens, P.Pendeli 15236, Athens, Greece; Academy of Athens Research Center for Astronomy &amp; Applied Mathematics, Soranou Efessiou 4, Athens 11-527, Greece', 'European Southern Observatory, Av. Alonso de Cordova 3107, Santiago de Chile, Chile; Observatorio Nacional, Rua José Cristino 77, Rio de Janeiro 20921-400, Brazil', 'Observatorio Nacional, Rua José Cristino 77, Rio de Janeiro 20921-400, Brazil']	2019	Monthly Notices of the Royal Astronomical Society	487	['4669']	2019-08-00	2019-08-01T00:00:00Z	['MNRAS', 'MNRAS.487']	['2020MNRAS.495.4347B', '2020MNRAS.497..263K', '2020MNRAS.497.3191C', '2020MNRAS.499..391K', '2021EPJC...81..295H', '2021EPJC...81..948Z', '2021Galax...9...77L', '2021JCAP...08..051R', '2021JCAP...09..042K', '2021JCAP...12..032L', '2021MNRAS.501.1520C', '2021MNRAS.502.6140K', '2021MNRAS.504..300C', '2021MNRAS.505.1441G', '2021MNRAS.506.5039T', '2021MNRAS.508.4722K', '2021Univ....7..163M', '2021arXiv210410354R', '2022ApJ...928...78R', '2022ApJ...936...21Z', '2022JCAP...01..024J', '2022MNRAS.509..224M', '2022MNRAS.509.4745C', '2022MNRAS.510.2753K', '2022MNRAS.510.2928C', '2022MNRAS.511.5661Z', '2022MNRAS.512..439C', '2022MNRAS.513.1985K', '2022MNRAS.513.5686C', '2022MNRAS.514.5827S', '2022NewAR..9501659P', '2022arXiv220406118K']	32	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Chávez, Ricardo', 97)	
2018MNRAS.481..268T	['From Giant H II regions and H II galaxies to globular clusters and compact dwarf ellipticals']	['Terlevich, Elena', 'Fernández-Arenas, David', 'Terlevich, Roberto', 'Gieles, Mark', 'Chávez, Ricardo', 'González-Morán, Ana Luisa']	['Instituto Nacional de Astrofísica Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México', 'Instituto Nacional de Astrofísica Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México', 'Instituto Nacional de Astrofísica Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México; Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK', 'Department of Physics, University of Surrey, Guildford GU2 7XH, UK', 'Instituto Nacional de Astrofísica Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México; Cavendish Laboratory, University of Cambridge, 19 J. J. Thomson Ave, Cambridge CB3 0HE, UK; Kavli Institute for Cosmology, University of Cambridge, Madingley Rd., Cambridge, CB3 0HA, UK', 'Instituto Nacional de Astrofísica Óptica y Electrónica, AP 51 y 216, 72000, Puebla, México']	2018	Monthly Notices of the Royal Astronomical Society	481	['268']	2018-11-00	2018-11-01T00:00:00Z	['MNRAS', 'MNRAS.481']	['2019ApJ...878L..23C', '2019MNRAS.483.3618V', '2021MNRAS.500.4422C', '2022MNRAS.513.2360J', '2022arXiv220703532W']	5	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Chávez, Ricardo', 97)	
