bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2022MNRAS.514.6038Z	['ATOMS: ALMA Three-millimeter Observations of Massive Star-forming regions - XI. From inflow to infall in hub-filament systems']	"['Zhou, Jian-Wen', 'Liu, Tie', 'Evans, Neal J.', 'Garay, Guido', 'Goldsmith, Paul F.', 'Gómez, Gilberto C.', 'Vázquez-Semadeni, Enrique', 'Liu, Hong-Li', 'Stutz, Amelia M.', 'Wang, Ke', 'Juvela, Mika', 'He, Jinhua', 'Li, Di', 'Bronfman, Leonardo', 'Liu, Xunchuan', 'Xu, Feng-Wei', 'Tej, Anandmayee', 'Dewangan, L. K.', 'Li, Shanghuo', 'Zhang, Siju', 'Zhang, Chao', 'Ren, Zhiyuan', ""Tatematsu, Ken'ichi"", 'Shing Li, Pak', 'Won Lee, Chang', 'Baug, Tapas', 'Qin, Sheng-Li', 'Wu, Yuefang', 'Peng, Yaping', 'Zhang, Yong', 'Liu, Rong', 'Luo, Qiu-Yi', 'Ge, Jixing', 'Saha, Anindya', 'Chakali, Eswaraiah', 'Zhang, Qizhou', 'Kim, Kee-Tae', 'Ristorcelli, Isabelle', 'Shen, Zhi-Qiang', 'Li, Jin-Zeng']"	"[""National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China"", ""Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China"", 'Department of Astronomy, The University of Texas at Austin, 2515 Speedway, Stop C1400, Austin, TX 78712-1205, USA', 'Departamento de Astronomıa, Universidad de Chile, Camino el Observatorio 1515, Las Condes, Santiago, Chile', 'Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, México', ""Department of Astronomy, Yunnan University, Kunming 650091, People's Republic of China"", 'Departamento de Astronomía, Universidad de Concepción, Casilla 160-C, Concepción, Chile', ""Kavli Institute for Astronomy and Astrophysics, Peking University, Haidian District, Beijing 100871, People's Republic of China"", 'Department of Physics, University of Helsinki, PO Box 64, FI-00014 Helsinki, Finland', ""Yunnan Observatories, Chinese Academy of Sciences, 396 Yangfangwang, Guandu District, Kunming 650216, People's Republic of China; Chinese Academy of Sciences South America Center for Astronomy, National Astronomical Observatories, CAS, Beijing 100101, People's Republic of China; Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile"", ""National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; NAOC-UKZN Computational Astrophysics Centre, University of KwaZulu-Natal, Durban 4000, South Africa"", 'Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile', ""Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China"", ""Kavli Institute for Astronomy and Astrophysics, Peking University, Haidian District, Beijing 100871, People's Republic of China; Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China"", 'Indian Institute of Space Science and Technology, Thiruvananthapuram, Kerala 695547, India', 'Physical Research Laboratory, Navrangpura, Ahmedabad 380009, India', 'Korea Astronomy and Space Science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', ""Kavli Institute for Astronomy and Astrophysics, Peking University, Haidian District, Beijing 100871, People's Republic of China"", ""Institute of Astronomy and Astrophysics, Anqing Normal University, Anqing 246133, People's Republic of China"", ""National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China"", 'Nobeyama Radio Observatory, National Astronomical Observatory of Japan, National Institutes of Natural Sciences, Nobeyama, Minamimaki, Minamisaku, Nagano 384-1305, Japan; Department of Astronomical Science, The Graduate University for Advanced Studies, SOKENDAI, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan', 'Astronomy Department, University of California, Berkeley, CA 94720, USA', 'Korea Astronomy and Space Science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea; University of Science and Technology, Korea (UST), 217 Gajeong-ro, Yuseong-gu, Daejeon 34113, Republic of Korea', 'S. N. Bose National Centre for Basic Sciences, JD Block, Sector-III, Salt Lake City, Kolkata 700106, India', ""Department of Astronomy, Yunnan University, Kunming 650091, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China"", ""College of Science, Yunnan Agricultural University, Kunming 650201, People's Republic of China"", ""School of Physics and Astronomy, Sun Yat-sen University, 2 Daxue Road, Tangjia, Zhuhai, Guangdong Province, People's Republic of China; CSST Science Center for the Guangdong-Hongkong-Macau Greater Bay Area, Sun Yat-Sen University, Guangdong Province, People's Republic of China; Laboratory for Space Research, The University of Hong Kong, Hong Kong 000000, People's Republic of China"", ""National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China"", ""School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China"", ""Chinese Academy of Sciences South America Center for Astronomy, National Astronomical Observatories, CAS, Beijing 100101, People's Republic of China"", 'Indian Institute of Space Science and Technology, Thiruvananthapuram, Kerala 695547, India', 'Indian Institute of Science Education and Research (IISER) Tirupati, Rami Reddy Nagar, Karakambadi Road, Mangalam (P.O.), Tirupati 517507, India', 'Center for Astrophysics, Harvard Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA', 'Korea Astronomy and Space Science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'IRAP, Université de Toulouse, CNRS, UPS, CNES, Toulouse 31400, France', ""Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China"", ""National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China""]"	2022	Monthly Notices of the Royal Astronomical Society	514	['6038']	2022-08-00	2022-08-01T00:00:00Z	['MNRAS', 'MNRAS.514']	['2022arXiv220801894J']	1	article	['-', '-', '-', '-', '-', '0000-0003-4714-0636', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '0000-0002-1086-7922', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['ism clouds', 'ism hii regions', 'ism kinematics and dynamics', 'stars fundamental parameters', '-', '-', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2022MNRAS.513.1244G	['Different molecular filament widths as tracers of accretion on to filaments']	['Gómez, Gilberto C.', 'Walsh, Catherine', 'Palau, Aina']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, México', 'School of Physics and Astronomy, University of Leeds, Leeds LS2 9JT, UK', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Antigua Carretera a Pátzcuaro # 8701, Ex-Hda. San José de la Huerta, Morelia, Michoacán, C.P. 58089, México']	2022	Monthly Notices of the Royal Astronomical Society	513	['1244']	2022-06-00	2022-06-01T00:00:00Z	['MNRAS', 'MNRAS.513']		0	article	['0000-0003-4714-0636', '-', '-']	['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['astrochemistry', 'ism clouds', 'ism kinematics and dynamics', 'ism molecules', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2022MNRAS.510.5062G	['A resolution criterion based on characteristic time-scales for MHD simulations of molecular clouds']	['Granda-Muñoz, Guido', 'Vázquez-Semadeni, Enrique', 'Gómez, Gilberto C.', 'Zamora-Avilés, Manuel']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, Mexico', 'CONACYT - Instituto Nacional de Astrofísica, Optica y Electrónica, Luis E. Erro 1, Tonantzintla, Púebla 72840, Mexico']	2022	Monthly Notices of the Royal Astronomical Society	510	['5062']	2022-03-00	2022-03-01T00:00:00Z	['MNRAS', 'MNRAS.510']		0	article	['-', '-', '0000-0003-4714-0636', '-']	['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars magnetic fields', 'mhd', 'methods numerical', 'ism clouds', 'ism magnetic fields', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2021MNRAS.502.4963G	['Density profile evolution during prestellar core collapse: collapse starts at the large scale']	['Gómez, Gilberto C.', 'Vázquez-Semadeni, Enrique', 'Palau, Aina']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México']	2021	Monthly Notices of the Royal Astronomical Society	502	['4963']	2021-04-00	2021-04-01T00:00:00Z	['MNRAS', 'MNRAS.502']	['2020arXiv201212819N', '2021A&A...654A..34B', '2021ApJ...912..159P', '2021ApJ...912L...7L', '2022A&A...657A...3G', '2022A&A...657A..70P', '2022A&A...658A.128L', '2022ApJ...926..165L', '2022MNRAS.512.4715N', '2022MNRAS.514.6038Z', '2022MNRAS.514L..16L', '2022MNRAS.tmp.2468D', '2022arXiv220503935P']	13	article	['0000-0003-4714-0636', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars fundamental parameters', 'ism clouds', 'ism evolution', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2020A&A...638A..44B	['Dynamical cloud formation traced by atomic and molecular gas']	['Beuther, H.', 'Wang, Y.', 'Soler, J.', 'Linz, H.', 'Henshaw, J.', 'Vazquez-Semadeni, E.', 'Gomez, G.', 'Ragan, S.', 'Henning, Th.', 'Glover, S. C. O.', 'Lee, M. -Y.', 'Güsten, R.']	"['Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autonoma de Mexico, Morelia, Michoacan, 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autonoma de Mexico, Morelia, Michoacan, 58089, Mexico', ""School of Physics and Astronomy, Cardiff University, Queen's Buildings, The Parade, Cardiff, CF24 3AA, UK"", 'Max Planck Institute for Astronomy, Königstuhl 17, 69117, Heidelberg, Germany', 'University of Heidelberg, Institute for Theoretical Astrophysics, Albert-Ueberle-Str. 2, 69120, Heidelberg, Germany', 'Korea Astronomy and Space Science Institute, 776 Daedeok-daero, 34055, Daejeon, Republic of Korea', 'Max-Planck-Institut für Radioastronomie, Auf dem Hügel 69, 53121, Bonn, Germany']"	2020	Astronomy and Astrophysics	638	['A44']	2020-06-00	2020-06-01T00:00:00Z	['A&A', 'A&A...638']	['2020A&A...642A.163S', '2021A&A...651L...4S', '2021A&A...656A..65M', '2021ApJ...906...80K', '2021ApJ...919...35Z', '2021MNRAS.502.2701B', '2022A&A...665A..63B', '2022ApJS..261...37Y', '2022MNRAS.512.4765S', '2022MNRAS.513.2942D']	10	article	['-', '-', '-', '-', '-', '-', '0000-0003-4714-0636', '-', '-', '-', '-', '-']	['ARTICLE', 'ASSOCIATED', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism clouds', 'ism kinematics and dynamics', 'ism structure', 'ism general', 'evolution', 'stars fundamental parameters', '-']	('Gomez, G.', 79)	('0000-0003-4714-0636', 100)
2019MNRAS.490.3061V	['Global hierarchical collapse in molecular clouds. Towards a comprehensive scenario']	['Vázquez-Semadeni, Enrique', 'Palau, Aina', 'Ballesteros-Paredes, Javier', 'Gómez, Gilberto C.', 'Zamora-Avilés, Manuel']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacán 58089, México; CONACYT-Instituto Nacional de Astrofísica, Óptica y Electrónica, Luis E. Erro 1, 72840 Tonantzintla, Puebla, México']	2019	Monthly Notices of the Royal Astronomical Society	490	['3061']	2019-12-00	2019-12-01T00:00:00Z	['MNRAS', 'MNRAS.490']	['2019A&A...626A..79P', '2019A&A...629A..10B', '2019A&A...631A...3M', '2019A&A...631A..72L', '2019A&A...631L...1M', '2019A&A...632A..83S', '2019AJ....158..235G', '2019ApJ...882....5W', '2019ApJ...884....4K', '2019MNRAS.487.1259L', '2019MNRAS.487.2200Z', '2019MNRAS.487.2977G', '2019MNRAS.488.3406Z', '2020A&A...636A..38N', '2020A&A...637A..40Z', '2020A&A...638A..44B', '2020A&A...641A..17B', '2020A&A...641A.138R', '2020A&A...642A..76Z', '2020A&A...642A..87K', '2020A&A...644A..11L', '2020A&A...644A..52A', '2020A&A...644A.128S', '2020AJ....159..265T', '2020AJ....160...68W', '2020ApJ...896..110L', '2020ApJ...898...41D', '2020ApJ...899..128K', '2020ApJ...900...82P', '2020ApJ...903...46C', '2020ApJ...904..168B', '2020MNRAS.491.4310T', '2020MNRAS.492.5870K', '2020MNRAS.494..624K', '2020MNRAS.495.4279M', '2020MNRAS.496.3482P', '2020MNRAS.499..668G', '2020MNRAS.499.1666C', '2020NatAs...4.1064H', '2020SSRv..216...50C', '2020SSRv..216...62R', '2020SSRv..216...64K', '2020SSRv..216...70L', '2020SSRv..216...76B', '2020arXiv201212819N', '2021A&A...645A..94N', '2021A&A...646A..10S', '2021A&A...646A.170G', '2021A&A...647A.114M', '2021A&A...647A.116C', '2021AJ....162..264J', '2021ARep...65...82P', '2021ASPC..528..303B', '2021ApJ...908....2M', '2021ApJ...910L...6T', '2021ApJ...917...23K', '2021ApJ...920..126E', '2021ApJ...921...48S', '2021ApJ...922L..36J', '2021ApJ...923..147M', '2021ApJS..254...14Y', '2021MNRAS.500.1697C', '2021MNRAS.500.2209Z', '2021MNRAS.500.2831W', '2021MNRAS.502.4576R', '2021MNRAS.502.4963G', '2021MNRAS.503.4601B', '2021MNRAS.504.1152D', '2021MNRAS.505..459F', '2021MNRAS.508.2964A', '2021PASJ...73..487T', '2021Univ....7..352T', '2022A&A...657A..30T', '2022A&A...657A..70P', '2022A&A...658A.128L', '2022A&A...658A.192Y', '2022A&A...662A...8M', '2022A&A...662A..39E', '2022A&A...663A.113J', '2022A&A...664A..26P', '2022A&A...664A..84N', '2022A&A...665A..63B', '2022A&A...665A.119T', '2022AJ....163..127T', '2022ApJ...925...41D', '2022ApJ...925...78A', '2022ApJ...925..144S', '2022ApJ...925..196I', '2022ApJ...926...16Y', '2022ApJ...929...68O', '2022ApJ...933...20T', '2022ApJ...933..179O', '2022ApJ...934....2M', '2022ApJ...934...45Z', '2022ApJ...935...57C', '2022ApJ...935..171B', '2022ApJ...936..135S', '2022ApJ...936..136Z', '2022ApJ...937...46K', '2022EPJWC.25700041R', '2022EPJWC.26500016T', '2022MNRAS.510.5009L', '2022MNRAS.511.3346F', '2022MNRAS.511.4480L', '2022MNRAS.511.4801B', '2022MNRAS.512..216G', '2022MNRAS.512.4715N', '2022MNRAS.512.5214D', '2022MNRAS.513.1244G', '2022MNRAS.513.2942D', '2022MNRAS.514.6038Z', '2022MNRAS.516.1983S', '2022MNRAS.516.4212S', '2022MNRAS.tmp.2468D', '2022PASA...39....5P', '2022RAA....22g5003C', '2022RAA....22g5016J', '2022arXiv220300040H', '2022arXiv220309562H', '2022arXiv220309570C', '2022arXiv220311223H', '2022arXiv220402511G', '2022arXiv220503935P', '2022arXiv220604090K', '2022arXiv220801894J', '2022arXiv220903889R']	126	article	['-', '-', '-', '0000-0003-4714-0636', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['stars fundamental parameters', 'ism clouds', 'ism evolution', 'turbulence', 'gravitation', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2018MNRAS.480.2939G	['The magnetic field structure in molecular cloud filaments']	['Gómez, Gilberto C.', 'Vázquez-Semadeni, Enrique', 'Zamora-Avilés, Manuel']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. postal 3-72, Morelia Mich. 58089, México; Department of Astronomy, University of Michigan, 500 Church Street, Ann Arbor, MI 48105, USA']	2018	Monthly Notices of the Royal Astronomical Society	480	['2939']	2018-11-00	2018-11-01T00:00:00Z	['MNRAS', 'MNRAS.480']	['2018ApJ...859..151L', '2018ApJ...869..115S', '2018MNRAS.481.2507R', '2019A&A...629A..96S', '2019A&A...632A..68T', '2019ApJ...876...42W', '2019ApJ...883...95S', '2019FrASS...6....5H', '2019MNRAS.485.4509L', '2019MNRAS.487.2200Z', '2019MNRAS.487.3631G', '2019MNRAS.490.3061V', '2019PASA...36...29A', '2020A&A...638A...7Z', '2020A&A...639A.133S', '2020A&A...644A..52A', '2020ApJ...888...13W', '2020ApJ...904..168B', '2020ApJ...905..158W', '2020IAUS..345...23C', '2020MNRAS.497..793Z', '2020NatAs...4.1126B', '2020NatAs...4.1195P', '2020SSRv..216...76B', '2021A&A...646A.170G', '2021A&A...647A..78A', '2021A&A...655A..76S', '2021ApJ...907...88P', '2021ApJ...908...86A', '2021ApJ...914..122D', '2021ApJ...921..128B', '2021Galax...9...13S', '2021MNRAS.500..153R', '2021MNRAS.503.5425B', '2021MNRAS.504.4354B', '2021MNRAS.508.4639Z', '2021RAA....21...48Z', '2021arXiv210710364C', '2022A&A...658A.114K', '2022FrASS...9.0027T', '2022MNRAS.511..829H', '2022MNRAS.513.1244G', '2022arXiv220309562H', '2022arXiv220311179P', '2022arXiv220503935P']	45	article	['0000-0003-4714-0636', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['mhd', 'ism clouds', 'ism kinematics and dynamics', 'ism magnetic fields', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2018MNRAS.476.3781R	['MHD simulations of ram pressure stripping of a disc galaxy']	['Ramos-Martínez, Mariana', 'Gómez, Gilberto C.', 'Pérez-Villegas, Ángeles']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacan 58089, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 3-72, Morelia, Michoacan 58089, Mexico', 'Max-Planck-Institut für Extraterrestrische Physik, Gießenbachstraße, D-85741, Garching, Germany; Universidade de São Paulo, IAG, Rua do Matão 1226, Cidade Universitária, Sao Paulo 05508-900, Brazil']	2018	Monthly Notices of the Royal Astronomical Society	476	['3781']	2018-05-00	2018-05-01T00:00:00Z	['MNRAS', 'MNRAS.476']	['2018A&A...618A.128C', '2018ApJ...863...49B', '2019Galax...7...36M', '2019MNRAS.486..486R', '2019MNRAS.486L..26S', '2019MNRAS.487.2797E', '2020ApJ...895..106F', '2020ApJ...895L...8R', '2020ApJ...903..103W', '2020ApJ...905...31L', '2020MNRAS.497.5090S', '2021A&A...650A.111R', '2021A&A...652A.153R', '2021ApJ...908..228L', '2021ApJ...915...70W', '2021ApJ...921...22C', '2021Galax...9..116M', '2021IAUS..359..108P', '2021MNRAS.505.2247C', '2021NatAs...5..159M', '2022A&A...659A..94M', '2022A&ARv..30....3B', '2022ApJ...927..130P', '2022ApJ...928..144L', '2022ApJ...933...30T', '2022ApJ...935...48Z', '2022ApJ...936..133C', '2022ApJ...937...58I', '2022MNRAS.509.1342R', '2022MNRAS.512.5927F', '2022arXiv220902781A', '2022arXiv220915235L']	32	article	['-', '0000-0003-4714-0636', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['mhd', 'galaxies evolution', 'galaxies', 'galaxies intergalactic medium', 'galaxies magnetic fields', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
2017sfcc.confE...6C	['Energy Budget of Forming Clumps In Numerical Simulations of Collapsing Clouds']	['Camacho, Vianey', 'Vasquez-Semadeni, E.', 'Ballesteros-Paredes, J.', 'Gomez, G.']	['Universidad Nacional Autónoma de México', 'UNAM', 'UNAM', 'UNAM']	2017	Star Formation from Cores to Clusters		['6']	2017-06-00	2017-06-01T00:00:00Z	['sfcc', 'sfcc.conf']		0	inproceedings	['-', '-', '-', '0000-0003-4714-0636']	['ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']	['-']	('Gomez, G.', 79)	('0000-0003-4714-0636', 100)
2016ApJ...833..113C	['Energy Budget of Forming Clumps in Numerical Simulations of Collapsing Clouds']	['Camacho, Vianey', 'Vázquez-Semadeni, Enrique', 'Ballesteros-Paredes, Javier', 'Gómez, Gilberto C.', 'Fall, S. Michael', 'Mata-Chávez, M. Dolores']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia Apartado Postal 3-72, 58090, Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia Apartado Postal 3-72, 58090, Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia Apartado Postal 3-72, 58090, Morelia, Michoacán, México; Zentrum fur Astronomie der Universität Heidelberg, Institut für Theoretische Astrophysik, Albert-Ueberle-Str. 2, 69120 Heidelberg, Germany', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia Apartado Postal 3-72, 58090, Morelia, Michoacán, México', 'Space Telescope Science Institute, 3700 San Martin Drive Baltimore, MD 21218, USA', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Campus Morelia Apartado Postal 3-72, 58090, Morelia, Michoacán, México; Instituto de AstronomÄ±a, Universidad Nacional Autónoma de México, Apdo. postal 70-264 Ciudad Universitaria, D.F. 04510, México']	2016	The Astrophysical Journal	833	['113']	2016-12-00	2016-12-01T00:00:00Z	['ApJ', 'ApJ...833']	['2017MmSAI..88..513H', '2018A&A...619L...7T', '2018ApJ...854..100M', '2018ApJ...860..172S', '2018ApJ...866...19B', '2018BAAA...60..192S', '2018MNRAS.475.2632H', '2018MNRAS.477.2220T', '2018MNRAS.479.2112B', '2018MNRAS.480.2939G', '2019A&A...625A..82N', '2019A&A...631A..72L', '2019FrASS...6....5H', '2019MNRAS.483.5355M', '2019MNRAS.487.2200Z', '2019MNRAS.490.3061V', '2020ApJ...903...46C', '2020ApJ...903..136G', '2020MNRAS.491.4310T', '2020MNRAS.499..668G', '2020SSRv..216...50C', '2020SSRv..216...76B', '2020arXiv201212819N', '2021MNRAS.502.6188M', '2021MNRAS.505.4048L', '2021arXiv210200163M', '2022A&A...658A.128L', '2022AJ....164...43S', '2022ApJ...925...78A', '2022MNRAS.512.4715N', '2022MNRAS.515.2822R', '2022arXiv220402511G']	32	article	['-', '-', '-', '0000-0003-4714-0636', '0000-0003-3323-9061', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism clouds', 'ism kinematics and dynamics', 'stars fundamental parameters', 'turbulence', '-']	('Gómez, Gilberto C.', 88)	('0000-0003-4714-0636', 100)
