bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2022MNRAS.516.5270B	['Unravelling the nature of the dual AGN in the galaxy pair system IRAS 05589+2828 and 2MASX J06021107 + 2828382']	"['Benítez, E.', 'Jiménez-Bailón, E.', 'Negrete, C. A.', 'Ruschel-Dutra, D.', 'Rodríguez-Espinosa, J. M.', 'Cruz-González, I.', 'Rodríguez, L. F.', 'Chavushyan, V. H.', 'Marziani, P.', 'Gutiérrez, L.', 'González-Martin, O.', 'Jiang, B. W.', ""D'Onofrio, M.""]"	"['Universidad Nacional Autónoma de México, Instituto de Astronomía, AP 70-264, CDMX 04510, Mexico', 'Universidad Nacional Autónoma de México, Instituto de Astronomía, AP 106, Ensenada 22800, BC, Mexico', 'CONACYT Research Fellow, Universidad Nacional Autónoma de México, Instituto de Astronomía, AP 70-264, CDMX 04510, Mexico', 'Departamento de Física, Universidade Federal de Santa Catarina, P.O. Box 476, 88040-900 Florianópolis, SC, Brazil', 'Instituto de Astrofísica de Canarias, Vía Láctea, s/n, E-38205, La Laguna, Spain; Departamento de Astrofísica, Universidad de La Laguna (ULL), La Laguna, Tenerife, E-38205, Spain', 'Universidad Nacional Autónoma de México, Instituto de Astronomía, AP 70-264, CDMX 04510, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, AP 3-72, (Xangari), 58089 Morelia, Mexico', 'Instituto Nacional de Astrofísica, Óptica y Electrónica, Luis Enrique Erro #1, Tonantzintla, Puebla 72840, Mexico', ""Istituto Nazionale d'Astrofisica (INAF), Osservatorio Astronomico di Padova, I-35122 Padova, Italy"", 'Universidad Nacional Autónoma de México, Instituto de Astronomía, AP 106, Ensenada 22800, BC, Mexico', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, AP 3-72, (Xangari), 58089 Morelia, Mexico', 'Key Laboratory for Particle Astrophysics, Institute of High Energy Physics, Chinese Academy of Sciences, 19B Yuquan Road, Beijing 100049, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China', 'Dipartimento di Fisica e Astronomia, Università di Padova, I-35122 Padova, Italy']"	2022	Monthly Notices of the Royal Astronomical Society	516	['5270']	2022-11-00	2022-11-01T00:00:00Z	['MNRAS', 'MNRAS.516']		0	article		['ARTICLE', 'ESOURCE', 'REFEREED']	('González-Martin, O.', 85)	
2022cosp...44.2338G	['Evolution of nuclear dust in AGN']	['Gonzalez-Martin, Omaira']	['-']	2022	44th COSPAR Scientific Assembly. Held 16-24 July	44	['2338']	2022-07-00	2022-07-01T00:00:00Z	['cosp', 'cosp...44']		0	inproceedings		['ARTICLE', 'NOT REFEREED']	('Gonzalez-Martin, Omaira', 100)	
2022cosp...44.2315V	['The scattered X-ray spectrum of AGN: testing physical scenarios for the reflection features using simultaneous XMM-Newton and NuSTAR data']	['Victoria, César', 'Gonzalez-Martin, Omaira']	['-', '-']	2022	44th COSPAR Scientific Assembly. Held 16-24 July	44	['2315']	2022-07-00	2022-07-01T00:00:00Z	['cosp', 'cosp...44']		0	inproceedings		['ARTICLE', 'NOT REFEREED']	('Gonzalez-Martin, Omaira', 100)	
2022cosp...44.2311O	['Understanding the behaviour of the torus for LLAGN using NuSTAR']	['Osorio Clavijo, Natalia', 'Gonzalez-Martin, Omaira', 'Masegosa, Josefa', 'Hernandez Garcia, Lorena', 'Sánchez, Sebastián', 'Esparza, Donají', 'Díaz, Yaherlyn', 'Victoria, César']	['-', '-', '-', '-', '-', '-', '-', '-']	2022	44th COSPAR Scientific Assembly. Held 16-24 July	44	['2311']	2022-07-00	2022-07-01T00:00:00Z	['cosp', 'cosp...44']		0	inproceedings		['ARTICLE', 'NOT REFEREED']	('Gonzalez-Martin, Omaira', 100)	
2022MNRAS.511.5611O	['A statistical study of the optical spectral variability in gamma-ray blazars']	['Otero-Santos, J.', 'Acosta-Pulido, J. A.', 'Becerra González, J.', 'Luashvili, A.', 'Castro Segura, N.', 'González-Martín, O.', 'Raiteri, C. M.', 'Carnerero, M. I.']	['Instituto de Astrofísica de Canarias (IAC), E-38200 La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain', 'Instituto de Astrofísica de Canarias (IAC), E-38200 La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain', 'Instituto de Astrofísica de Canarias (IAC), E-38200 La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain', 'Laboratoire Univers et Théories, Observatoire de Paris, Unversité PSL, CNRS, Université de Paris, F-92190 Meudon, France', 'Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain; School of Physics and Astronomy, University of Southampton, Highfield, Southampton SO17 1BJ, UK', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701 Morelia, Mexico', 'INAF - Osservatorio Astrofisico di Torino, via Osservatorio 20, I-10025 Pino Torinese, Italy', 'INAF - Osservatorio Astrofisico di Torino, via Osservatorio 20, I-10025 Pino Torinese, Italy']	2022	Monthly Notices of the Royal Astronomical Society	511	['5611']	2022-04-00	2022-04-01T00:00:00Z	['MNRAS', 'MNRAS.511']	['2022arXiv220909877S']	1	article	['-', '-', '-', '-', '-', '-', '0000-0003-1784-2784', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('González-Martín, O.', 82)	('0000-0003-1784-2784', 63)
2022MNRAS.510.5102O	['Observational hints on the torus obscuring gas behaviour through X-rays with NuSTAR data']	['Osorio-Clavijo, N.', 'González-Martín, O.', 'Sánchez, S. F.', 'Esparza-Arredondo, D.', 'Masegosa, J.', 'Victoria-Ceballos, C.', 'Hernández-García, L.', 'Díaz, Y.']	['Instituto de Radioastronomía and Astrofisica (IRyA-UNAM), 3-72 (Xangari), 8701 Morelia, Mexico', 'Instituto de Radioastronomía and Astrofisica (IRyA-UNAM), 3-72 (Xangari), 8701 Morelia, Mexico', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, A. P. 70-264, C.P. 04510 México, D.F., Mexico', 'Instituto de Radioastronomía and Astrofisica (IRyA-UNAM), 3-72 (Xangari), 8701 Morelia, Mexico', 'IAA - Instituto de Astrofísica de Andalucía (CSIC), Glorieta de la Astonomía, E-18008 Granada, Spain', 'Instituto de Radioastronomía and Astrofisica (IRyA-UNAM), 3-72 (Xangari), 8701 Morelia, Mexico', 'Millennium Institute of Astrophysics (MAS), Nuncio Monseñor Sótero Sanz 100, Providencia, Santiago, Chile; Instituto de Física y Astronomía, Facultad de Ciencias, Universidad de Valparaíso, Gran Bretaña 1111, Playa Ancha, Valparaíso, Chile', 'Instituto de Física y Astronomía, Facultad de Ciencias, Universidad de Valparaíso, Gran Bretaña 1111, Playa Ancha, Valparaíso, Chile']	2022	Monthly Notices of the Royal Astronomical Society	510	['5102']	2022-03-00	2022-03-01T00:00:00Z	['MNRAS', 'MNRAS.510']	['2022A&A...663A..87M']	1	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('González-Martín, O.', 82)	
2022ApJ...926..192V	['The Complex Infrared Dust Continuum Emission of NGC 1068: Ground-based N- and Q-band Spectroscopy and New Radiative Transfer Models']	['Victoria-Ceballos, César Ivan', 'González-Martín, Omaira', 'Fritz, Jacopo', 'Ramos Almeida, Cristina', 'López-Rodríguez, Enrique', 'García-Burillo, Santiago', 'Alonso-Herrero, Almudena', 'Martínez-Paredes, Mariela', 'Esparza-Arredondo, Donaji', 'Osorio-Clavijo, Natalia']	['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, México', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, México', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, México', 'Instituto de Astrofísica de Canarias, Calle Vía Láctea, s/n, E-38205 La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, E-38206 La Laguna, Tenerife, Spain', 'Kavli Institute for Particle Astrophysics &amp; Cosmology (KIPAC), Stanford University, Stanford, CA 94305, USA', 'Observatorio Astronómico Nacional (OAN-IGN)-Observatorio de Madrid, Alfonso XII, 3, E-28014, Madrid, Spain', 'Centro de Astrobiología (CSIC-INTA), ESAC Campus, E-28692 Villanueva de la Cañada, Madrid, Spain', 'Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon, (34055), Republic of Korea', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, México', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, México']	2022	The Astrophysical Journal	926	['192']	2022-02-00	2022-02-01T00:00:00Z	['ApJ', 'ApJ...926']	['2022Univ....8..304L', '2022arXiv220806137B']	2	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('González-Martín, Omaira', 95)	
2021ApJ...922..157M	['Modeling the Unresolved NIR-MIR SEDs of Local (z &lt; 0.1) QSOs']	['Martínez-Paredes, M.', 'González-Martín, O.', 'HyeongHan, K.', 'Geier, S.', 'García-Bernete, I.', 'Ramos Almeida, C.', 'Alonso-Herrero, A.', 'Aretxaga, I.', 'Kim, M.', 'Sohn, B. W.', 'Masegosa, J.']	['Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'Instituto de Radioastronomía y Astrofísica UNAM Apartado Postal 3-72 (Xangari), 58089 Morelia, Michoacán, Mexico', 'Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea; Yonsei University, 50 Yonsei-ro Seodaemun-gu, Seoul 03722, Republic of Korea', 'Instituto de Astrofísica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain; Gran Telescopio Canarias (GRANTECAN), Cuesta de San José s/n, E-38712 Breña Baja, La Palma, Spain', 'Instituto de Física de Cantabria (CSIC-UC), Avenida de los Castros, E-39005 Santander, Spain; Visiting Fellow, Centre for Extragalactic Astronomy, Durham University, South Road, Durham DH1 3LE, UK', 'Instituto de Astrofísica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain', 'Centro de Astrobiología, CSIC-INTA, ESAC Campus, E-28692 Villanueva de la Cañada, Madrid, Spain', 'Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE), Luis Enrrique Erro 1, Sta. Ma. Tonantzintla, Puebla, Mexico', 'Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'Instituto de Astrofisica de Andalucia, E-18008 Granada, Spain']	2021	The Astrophysical Journal	922	['157']	2021-12-00	2021-12-01T00:00:00Z	['ApJ', 'ApJ...922']		0	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('González-Martín, O.', 82)	
2021A&A...652A..99A	['The Galaxy Activity, Torus, and Outflow Survey (GATOS). II. Torus and polar dust emission in nearby Seyfert galaxies']	['Alonso-Herrero, A.', 'García-Burillo, S.', 'Hönig, S. F.', 'García-Bernete, I.', 'Ramos Almeida, C.', 'González-Martín, O.', 'López-Rodríguez, E.', 'Boorman, P. G.', 'Bunker, A. J.', 'Burtscher, L.', 'Combes, F.', 'Davies, R.', 'Díaz-Santos, T.', 'Gandhi, P.', 'García-Lorenzo, B.', 'Hicks, E. K. S.', 'Hunt, L. K.', 'Ichikawa, K.', 'Imanishi, M.', 'Izumi, T.', 'Labiano, A.', 'Levenson, N. A.', 'Packham, C.', 'Pereira-Santaella, M.', 'Ricci, C.', 'Rigopoulou, D.', 'Roche, P.', 'Rosario, D. J.', 'Rouan, D.', 'Shimizu, T.', 'Stalevski, M.', 'Wada, K.', 'Williamson, D.']	['Centro de Astrobiología (CAB, CSIC-INTA), ESAC Campus, 28692, Villanueva de la Cañada, Madrid, Spain', 'Observatorio de Madrid, OAN-IGN, Alfonso XII, 3, 28014, Madrid, Spain', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire, SO17 1BJ, Southampton, UK', 'Department of Physics, University of Oxford, Oxford, OX1 3RH, UK', 'Instituto de Astrofísica de Canarias, Calle Vía Láctea, s/n, 38205, La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, 38205, La Laguna, Tenerife, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Kavli Institute for Particle Astrophysics and Cosmology (KIPAC), Stanford University, Stanford, CA, 94305, USA', 'Astronomical Institute, Academy of Sciences, Bôcní II 1401, 14131, Prague, Czechia', 'Department of Physics, University of Oxford, Oxford, OX1 3RH, UK', 'Leiden Observatory, PO Box 9513, 2300 RA, Leiden, The Netherlands', 'LERMA, Observatoire de Paris, Collège de France, PSL University, CNRS, Sorbonne University, Paris, France', 'Max-Planck-Institut für Extraterrestrische Physik, Postfach 1312, 85741, Garching, Germany', 'Institute of Astrophysics, Foundation for Research and Technology-Hellas, 71110, Heraklion, Greece', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire, SO17 1BJ, Southampton, UK', 'Instituto de Astrofísica de Canarias, Calle Vía Láctea, s/n, 38205, La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, 38205, La Laguna, Tenerife, Spain', 'Department of Physics &amp; Astronomy, University of Alaska Anchorage, Anchorage, AK, 99508-4664, USA', 'INAF - Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy', 'Max-Planck-Institut für Extraterrestrische Physik, Postfach 1312, 85741, Garching, Germany; Frontier Research Institute for Interdisciplinary Sciences, Tohoku University, Sendai, 980-8578, Japan; Astronomical Institute, Tohoku University, 6-3 Aramaki, Aoba-ku, Sendai, 980-8578, Japan', 'National Astronomical Observatory of Japan, National Institutes of Natural Sciences (NINS), 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; Department of Astronomy, School of Science, The Graduate University for Advanced Studies, SOKENDAI, Mitaka, Tokyo, 181-8588, Japan; National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan', 'Department of Astronomical Science, The Graduate University for Advanced Studies, SOKENDAI, 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan', 'Centro de Astrobiología (CAB, CSIC-INTA), ESAC Campus, 28692, Villanueva de la Cañada, Madrid, Spain', 'Space Telescope Science Institute, Baltimore, MD, 21218, USA', 'The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249, USA; National Astronomical Observatory of Japan, National Institutes of Natural Sciences (NINS), 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan', 'Centro de Astrobiología (CAB, CSIC-INTA), Carretera de Ajalvir, 28850, Torrejón de Ardoz, Madrid, Spain', 'Núcleo de Astronomía de la Facultad de Ingeniería, Universidad Diego Portales, Av. Ejército Libertador 441, Santiago, Chile; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing, 100871, PR China', 'Department of Physics, University of Oxford, Oxford, OX1 3RH, UK', 'Department of Physics, University of Oxford, Oxford, OX1 3RH, UK', 'Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham, DH1 3LE, UK', 'LESIA, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Universités, UPMC Univ. Paris 06, Univ. Paris Diderot, Sorbonne Paris Cité, 5 Place Jules Janssen, 92190, Meudon, France', 'Max-Planck-Institut für Extraterrestrische Physik, Postfach 1312, 85741, Garching, Germany', 'Astronomical Observatory, Volgina 7, 11060, Belgrade, Serbia; Sterrenkundig Observatorium, Universiteit Ghent, Krijgslaan 281-S9, Ghent, 9000, Belgium', 'Kagoshima University, Graduate School of Science and Engineering, Kagoshima, 890-0065, Japan; Ehime University, Research Center for Space and Cosmic Evolution, Matsuyama, 790-8577, Japan; Hokkaido University, Faculty of Science, Sapporo, 060-0810, Japan', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire, SO17 1BJ, Southampton, UK']	2021	Astronomy and Astrophysics	652	['A99']	2021-08-00	2021-08-01T00:00:00Z	['A&A', 'A&A...652']	['2021A&A...652A..98G', '2021ApJ...922...99V', '2021ApJ...923..127N', '2021agnf.book.....C', '2022ApJ...925...55O', '2022ApJ...925..203J', '2022ApJ...934..101A', '2022MNRAS.509..831L', '2022MNRAS.510..687R', '2022MNRAS.tmp.2396G', '2022Univ....8..304L', '2022Univ....8..356S', '2022arXiv220900014R', '2022arXiv220910576G']	14	article	['-', '-', '-', '-', '-', '-', '-', '0000-0001-9379-4716', '-', '-', '-', '0000-0003-4949-7217', '0000-0003-0699-6083', '-', '-', '-', '0000-0001-9162-2371', '-', '-', '-', '-', '-', '0000-0001-7827-5758', '-', '-', '-', '0000-0002-8524-8413', '0000-0002-0001-3587', '-', '0000-0002-2125-4670', '0000-0001-5146-8330', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('González-Martín, O.', 82)	('0000-0002-8524-8413', 74)
2021A&A...652A..98G	['The Galaxy Activity, Torus, and Outflow Survey (GATOS). I. ALMA images of dusty molecular tori in Seyfert galaxies']	['García-Burillo, S.', 'Alonso-Herrero, A.', 'Ramos Almeida, C.', 'González-Martín, O.', 'Combes, F.', 'Usero, A.', 'Hönig, S.', 'Querejeta, M.', 'Hicks, E. K. S.', 'Hunt, L. K.', 'Rosario, D.', 'Davies, R.', 'Boorman, P. G.', 'Bunker, A. J.', 'Burtscher, L.', 'Colina, L.', 'Díaz-Santos, T.', 'Gandhi, P.', 'García-Bernete, I.', 'García-Lorenzo, B.', 'Ichikawa, K.', 'Imanishi, M.', 'Izumi, T.', 'Labiano, A.', 'Levenson, N. A.', 'López-Rodríguez, E.', 'Packham, C.', 'Pereira-Santaella, M.', 'Ricci, C.', 'Rigopoulou, D.', 'Rouan, D.', 'Shimizu, T.', 'Stalevski, M.', 'Wada, K.', 'Williamson, D.']	['Observatorio Astronómico Nacional (OAN-IGN)-Observatorio de Madrid, Alfonso XII, 3, 28014, Madrid, Spain', 'Centro de Astrobiología (CSIC-INTA), ESAC Campus, 28692 Villanueva de la Cañada, Madrid, Spain', 'Instituto de Astrofísica de Canarias, Calle Vía Láctea, s/n, 38205, La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, 38205, La Laguna, Tenerife, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72(Xangari), 8701, Morelia, Mexico', 'LERMA, Observatoire de Paris, Collège de France, PSL University, CNRS, Sorbonne University, Paris, France', 'Observatorio Astronómico Nacional (OAN-IGN)-Observatorio de Madrid, Alfonso XII, 3, 28014, Madrid, Spain', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire S17 1BJ, Southampton, UK', 'Observatorio Astronómico Nacional (OAN-IGN)-Observatorio de Madrid, Alfonso XII, 3, 28014, Madrid, Spain', 'Department of Physics &amp; Astronomy, University of Alaska Anchorage, Anchorage, AK, 99508-4664, USA', 'INAF - Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy', 'Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham, DH1 3LE, UK', 'Max-Planck-Institut für Extraterrestrische Physik, Garching, Germany', 'Astronomical Institute, Academy of Sciences, Boĉní II 1401, 14131, Prague, Czechia', 'Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford, OX13RH, UK', 'Leiden Observatory, PO Box 9513, 2300 RA, Leiden, The Netherlands', 'Centro de Astrobiología (CSIC-INTA), Carretera de Ajalvir, 28850, Torrejón de Ardoz, Madrid, Spain', 'Institute of Astrophysics, Foundation for Research and Technology-Hellas, 71110, Heraklion, Greece', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire S17 1BJ, Southampton, UK', 'Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford, OX13RH, UK', 'Instituto de Astrofísica de Canarias, Calle Vía Láctea, s/n, 38205, La Laguna, Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, 38205, La Laguna, Tenerife, Spain', 'Astronomical Institute, Tohoku University 6-3 Aramaki, Aoba-ku, Sendai, 980-8578, Japan', 'National Astronomical Observatory of Japan, National Institutes of Natural Sciences (NINS), 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; Department of Astronomy, School of Science, The Graduate University for Advanced Studies, SOKENDAI, Mitaka, Tokyo, 181-8588, Japan', 'National Astronomical Observatory of Japan, National Institutes of Natural Sciences (NINS), 2-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; Department of Astronomy, School of Science, The Graduate University for Advanced Studies, SOKENDAI, Mitaka, Tokyo, 181-8588, Japan', 'Centro de Astrobiología (CSIC-INTA), Carretera de Ajalvir, 28850, Torrejón de Ardoz, Madrid, Spain', 'Space Telescope Science Institute, Baltimore, MD, 21218, USA', 'Kavli Institute for Particle Astrophysics &amp; Cosmology (KIPAC), Stanford University, Stanford, CA, 94305, USA; SOFIA Science Center, NASA Ames Research Center, Moffett Field, CA, 94035, USA', 'The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249, USA', 'Centro de Astrobiología (CSIC-INTA), Carretera de Ajalvir, 28850, Torrejón de Ardoz, Madrid, Spain', 'Núcleo de Astronomía de la Facultad de Ingeniería, Universidad Diego Portales, Av. Ejército Libertador 441, Santiago, Chile; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing, 100871, PR China', 'Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford, OX13RH, UK', 'LESIA, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Universités, UPMC Univ. Paris 06, Univ. Paris Diderot, Sorbonne Paris Cité, 5 place Jules Janssen, 92190, Meudon, France', 'Max-Planck-Institut für Extraterrestrische Physik, Garching, Germany', 'Astronomical Observatory, Volgina 7, 11060, Belgrade, Serbia; Sterrenkundig Observatorium, Universiteit Ghent, Krijgslaan 281-S9, Ghent, 9000, Belgium', 'Kagoshima University, Graduate School of Science and Engineering, Kagoshima, 890-0065, Japan; Ehime University, Research Center for Space and Cosmic Evolution, Matsuyama, 790-8577, Japan; Hokkaido University, Faculty of Science, Sapporo, 060-0810, Japan', 'Department of Physics &amp; Astronomy, University of Southampton, Hampshire S17 1BJ, Southampton, UK']	2021	Astronomy and Astrophysics	652	['A98']	2021-08-00	2021-08-01T00:00:00Z	['A&A', 'A&A...652']	['2021A&A...651A..42P', '2021A&A...652A..99A', '2021A&A...653A.172S', '2021A&A...656A..60A', '2021ApJ...923..127N', '2021ApJS..257...64K', '2021MNRAS.506.5935R', '2021agnf.book.....C', '2022A&A...658A.155R', '2022A&A...663A..28S', '2022A&A...664A.142T', '2022A&A...665A.102V', '2022AJ....163..230G', '2022ApJ...925..203J', '2022ApJ...926...50T', '2022ApJ...926..175L', '2022ApJ...926..192V', '2022ApJ...930....3K', '2022EPJWC.26500047C', '2022JApA...43....4J', '2022MNRAS.510..639B', '2022MNRAS.510..687R', '2022MNRAS.512.1522D', '2022MNRAS.512.3906R', '2022MNRAS.516.2522T', '2022MNRAS.tmp.2396G', '2022Univ....8..304L', '2022arXiv220709466L', '2022arXiv220900014R', '2022arXiv220910576G']	30	article	['-', '-', '-', '-', '-', '-', '-', '-', '-', '0000-0001-9162-2371', '0000-0002-0001-3587', '0000-0003-4949-7217', '0000-0001-9379-4716', '-', '-', '-', '0000-0003-0699-6083', '-', '-', '-', '-', '-', '-', '-', '-', '-', '0000-0001-7827-5758', '-', '-', '-', '-', '0000-0002-2125-4670', '0000-0001-5146-8330', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('González-Martín, O.', 82)	('0000-0002-0001-3587', 74)
