bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2005AAS...207.8106R	['Anomalous H<SUB>2</SUB>CO Absorption in the L1204/S140 Region and a Comparison with CO(1-0) Emission']	['Rodriguez, M. I.', 'Loinard, L.', 'Allen, R. J.', 'Escalante, V.', 'Wiklind, T.']	['STScI', 'CRyA', 'STScI', 'CRyA', 'STScI']	2005	American Astronomical Society Meeting Abstracts	207	['81.06']	2005-12-00	2005-12-01T00:00:00Z	['AAS', 'AAS...207']		0	abstract		['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	
2005MNRAS.361..813E	['The NII spectrum of the Orion nebula']	['Escalante, Vladimir', 'Morisset, Christophe']	['Centro de Radioastronomía y Astrofísica, Ap. Postal 72-3, C. P. 58091, Morelia, Michoacán, Mexico', 'Instituto de Astronomía, Ap. Postal 70-264, C. P. 04510, México, DF, Mexico']	2005	Monthly Notices of the Royal Astronomical Society	361	['813']	2005-08-00	2005-08-01T00:00:00Z	['MNRAS', 'MNRAS.361']	['2007PhDT.......199G', '2007RMxAA..43....3G', '2007arXiv0704.0348S', '2009A&A...496..139G', '2009A&A...507.1517M', '2010ChPhB..19e3101S', '2011arXiv1109.6743E', '2012A&A...538A..54G', '2012IAUS..283..350E', '2012MNRAS.426.2318E', '2013A&A...558A.122G', '2013MNRAS.429.2791F', '2014PhDT........76D', '2015A&A...573A..42L', '2015ApJ...801..129S', '2015MNRAS.447..817B', '2015arXiv150304498S', '2015wrs..conf..325M', '2016MNRAS.462.1203S', '2018PhRvA..97a2510S', '2021ApJS..257...58D', '2021MNRAS.500.4849C', '2022MNRAS.509.2482W', '2022MNRAS.514.1217D']	24	article	['-', '0000-0001-5801-6724']	['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['line formation', 'ism general', 'astrophysics']	('Escalante, Vladimir', 100)	('-', 0)
2002RMxAC..12...22E	['Fluorescence of Permitted Lines in the Orion Nebula']	['Escalante, V.']	['Instituto de Astronomía, UNAM, Morelia']	2002	Revista Mexicana de Astronomia y Astrofisica Conference Series	12	['22']	2002-02-00	2002-02-01T00:00:00Z	['RMxAC', 'RMxAC..12']	['2004ApJ...615..323S', '2005MNRAS.361..813E']	2	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']	['atoms', 'ism hii regions', 'ism general']	('Escalante, V.', 90)	
2001RMxAC..11...69G	['Detection of Photodissociated Gas Toward the HII Region GGD12-15']	['Gomez, Y.', 'Lebron, M.', 'Rodriguez, L. F.', 'Lizano, S.', 'Escalante, V.', 'Garay, G.', 'Canto, J.']	['Instituto de Astronomia, U.N.A.M. Morelia', 'Instituto de Astronomia, U .N.A.M.', 'Instituto de Astronomia, U.N.A.M., Morelia', 'Instituto de Astron omia, U.N.A.M., Morelia', 'Instituto de Astronomia, U.N.A.M., Morelia', 'Dep artamento de Astronomia, Universidad de Chile, Santiago, Chile', 'Instituto de Astronomia, U.N.A.M.']	2001	Revista Mexicana de Astronomia y Astrofisica Conference Series	11	['69']	2001-07-00	2001-07-01T00:00:00Z	['RMxAC', 'RMxAC..11']		0	inproceedings	['-', '0000-0001-7943-9961', '-', '-', '-', '-', '-']	['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	('-', 0)
2000ign..confE..21E	['Fluorescence excitation mechanisms in ionized nebulae']	['Escalante, V.']	['-']	2000	Ionized Gaseous Nebulae		['21']	2000-11-00	2000-11-01T00:00:00Z	['ign', 'ign..conf']		0	inproceedings		['ARTICLE', 'NOT REFEREED', 'TOC']		('Escalante, V.', 90)	
1998AAS...193.1603W	['The Penetration of UV Radiation into PDRs']	['Watson, A. M.', 'Henney, W. J.', 'Escalante, V.']	['IA-UNAM', 'IA-UNAM', 'IA-UNAM']	1998	American Astronomical Society Meeting Abstracts	193	['16.03']	1998-12-00	1998-12-01T00:00:00Z	['AAS', 'AAS...193']		0	abstract	['-', '0000-0001-6208-9109', '-']	['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	('-', 0)
1998larm.confE.189E	['Models of Photodissociation Regions']	['Escalante, V.', 'Lizano, S.', 'Canto, J.', 'Gomez, Y.', 'Rodriguez, L. F.', 'Garay, G.']	['Instituto de Astronomia U.N.A.M., Unidad Morelia', 'Instituto de Astrono mia U.N.A.M., Unidad Morelia', 'Instituto de Astronomia U.N.A.M.', 'Instituto de Astronomia U.N.A.M., Unidad Morelia', 'Instituto de Astronomia U.N.A.M., U nidad Morelia', 'Departamento de Astronomia, Universidad de Chile, Santiago, C hile']	1998	"IX Latin American Regional IAU Meeting, ""Focal Points in Latin American Astronomy"""		['189']	1998-11-00	1998-11-01T00:00:00Z	['larm', 'larm.conf']		0	inproceedings		['ARTICLE', 'NOT REFEREED', 'TOC']		('Escalante, V.', 90)	
1998ApJ...503..297G	['A Photodissociated Region Associated with the Compact H II Region near GGD 12-15']	['Gómez, Y.', 'Lebrón, M.', 'Rodríguez, L. F.', 'Garay, G.', 'Lizano, S.', 'Escalante, V.', 'Cantó, J.']	['Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México']	1998	The Astrophysical Journal	503	['297']	1998-08-00	1998-08-01T00:00:00Z	['ApJ', 'ApJ...503']	['1999PASP..111..385T', '2000ApJ...531..861G', '2001ApJ...560..806L', '2002A&A...390..337K', '2002AJ....124.3449K', '2002ApJ...571..901G', '2003A&A...406..149P', '2003AJ....126..286R', '2003CoKon.103...53L', '2004AcASn..45....1F', '2004Ap&SS.289...77S', '2004ChA&A..28..308F', '2007ARA&A..45..481Z', '2007ApJ...658L..41R', '2007ApJS..170..152A', '2007prpl.conf..181H', '2008A&A...484..361Q', '2008hsf1.book..899C', '2009ApJ...705..468H', '2010AJ....140..913G', '2011RMxAC..40..181R', '2013MNRAS.434.2742J', '2014ApJ...790...10S', '2015AJ....150..145W', '2016ApJ...826..201D']	25	article	['-', '0000-0001-7943-9961', '-', '-', '-', '-', '-']	['ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism hii regions', 'ism abundances', 'ism general', 'astronomy radio', 'ism hii regions', 'ism abundances', 'ism general', 'astronomy radio']	('Escalante, V.', 90)	('-', 0)
1998MNRAS.295..401E	['Chemical composition of the Orion nebula derived from echelle spectrophotometry.']	['Esteban, C.', 'Peimbert, M.', 'Torres-Peimbert, S.', 'Escalante, V.']	['-', '-', '-', '-']	1998	Monthly Notices of the Royal Astronomical Society	295	['401']	1998-04-00	1998-04-01T00:00:00Z	['MNRAS', 'MNRAS.295']	['1998Ap&SS.263..193E', '1998ApJ...501L.209R', '1998ApJ...503..760H', '1998ApJ...508..268S', '1999A&A...342L..37E', '1999A&A...348..222R', '1999A&A...349..276E', '1999A&A...351.1075R', '1999AJ....118.2350H', '1999ASPC..187....3P', '1999ApJ...513..168G', '1999ApJ...514..787C', '1999ApJ...517..782H', '1999ApJ...518..405V', '1999ApJ...521..212M', '1999ApJ...527..110L', '1999ApJ...527..474B', '1999ApJ...527..757I', '1999ApJS..120..113E', '1999IAUS..190..266G', '1999IAUS..190..282R', '1999MNRAS.308..447G', '1999PASJ...51..961T', '1999PASP..111..385T', '1999PASP..111..919H', '1999cezh.conf...30P', '1999cezh.conf...39L', '1999cezh.conf...67C', '2000A&A...354L..79H', '2000A&A...362..325P', '2000A&A...362..921H', '2000ASPC..199..301D', '2000ASPC..199..329K', '2000ApJ...531..928H', '2000ApJ...541..660H', '2000ApJ...541..688P', '2000ApJ...543..831V', '2000ApJS..129..229B', '2000IAUS..198..194P', '2000JGR...10510269M', '2000MNRAS.311..329D', '2000NewAR..44..205E', '2000PhR...333..433P', '2000RMxAA..36...43B', '2000RMxAA..36..171C', '2001A&A...365..268B', '2001A&A...369..594P', '2001A&A...372..291S', '2001A&A...378L..45I', '2001A&A...379..936P', '2001A&A...380..684P', '2001ARA&A..39...99O', '2001ApJ...553..633L', '2001ApJ...554..981P', '2001ApJ...554.1044C', '2001ApJ...558..145G', '2001ApJ...561..766M', '2001ApJ...562..804K', '2001ApJS..132..103K', '2001ApSSS.277..147P', '2001MNRAS.327..141L', '2001PABei..19...68H', '2001PASP..113...41F', '2001PNAS...98.9476K', '2001RMxAC..10...13G', '2001RMxAC..10...19B', '2002A&A...381..606M', '2002A&A...387..295K', '2002A&A...389..556R', '2002A&A...394..443P', '2002A&A...395..929R', '2002AJ....124.3313M', '2002ASSL..274..229P', '2002ApJ...564..704R', '2002ApJ...565..571V', '2002ApJ...566..315H', '2002ApJ...569..742P', '2002ApJ...573L.137A', '2002ApJ...581..241E', '2002ApJS..138..285M', '2002ApJS..142...53V', '2002IAUS..187..209P', '2002JPhB...35.2755M', '2002MNRAS.329..787L', '2002MNRAS.337..499Z', '2002RMxAA..38...97L', '2002RMxAA..38..279B', '2002RMxAC..12...12O', '2002RMxAC..12...22E', '2002RMxAC..12...56E', '2002RMxAC..12..189S', '2002RMxAC..14...47P', '2002astro.ph..7500S', '2002astro.ph.12263P', '2003A&A...401..557P', '2003A&A...407..105G', '2003A&A...407..957M', '2003A&A...409..619M', '2003AJ....125.2590O', '2003AJ....126.1861B', '2003ASPC..297...81P', '2003ApJ...584..735P', '2003ApJ...586.1120S', '2003ApJ...595..247R', '2003ApJS..145..225V', '2003ApJS..149..157S', '2003IAUS..212..749S', '2003MNRAS.338..687T', '2003MNRAS.339..825C', '2003MNRAS.340..362R', '2003MNRAS.345..186T', '2003PASP..115...80K', '2003PASP..115..342S', '2003RMxAA..39...55B', '2003RMxAC..15..181B', '2003RMxAC..16..113P', '2003RMxAC..18..123S', '2004A&A...414..931A', '2004A&A...425..849P', '2004AJ....127.2284H', '2004AJ....127.2826B', '2004ApJ...604..534S', '2004ApJ...611..338S', '2004ApJ...612..108S', '2004ApJ...615...98R', '2004ApJ...615..323S', '2004ApJS..150..431P', '2004ApJS..153..501G', '2004MNRAS.351..745L', '2004MNRAS.355..229E', '2004PASP..116..723E', '2004oee..symp..482P', '2005A&A...434..507S', '2005ApJ...618L..95E', '2005ApJ...620..703C', '2005ApJ...623..213C', '2005ApJ...631..231P', '2005ApJ...634.1056P', '2005MNRAS.361..813E', '2005MNRAS.362..301G', '2005RMxAC..24..243G', '2005astro.ph.10288S', '2006A&A...448..351S', '2006A&A...450..159K', '2006A&A...453..943C', '2006AJ....132.2326B', '2006ApJ...644..890G', '2006ApJ...644.1006B', '2006ApJ...653.1226Q', '2006ApJS..162..346R', '2006IAUS..234..459M', '2006MNRAS.367.1139P', '2006MNRAS.368..253G', '2006RMxAC..26....5B', '2006RMxAC..26...68C', '2006astro.ph.10903G', '2007A&A...464..995P', '2007A&A...465..207S', '2007A&A...468..121K', '2007A&A...471..193S', '2007A&A...472..847C', '2007AJ....133..952G', '2007AJ....134.1679O', '2007ApJ...655..299B', '2007ApJ...656..168L', '2007ApJ...657..327P', '2007ApJ...662...15I', '2007ApJ...664..915B', '2007ApJ...670..457G', '2007MNRAS.376..353P', '2007MNRAS.381..117P', '2007PhDT.......199G', '2007RMxAC..29...72P', '2007astro.ph..3124K', '2008A&A...482..215M', '2008ApJ...675..389M', '2008ApJ...680.1162H', '2008MNRAS.389L..33W', '2008RMxAA..44..181G', '2008RMxAA..44..311F', '2008RMxAA..44..341C', '2009A&A...496..139G', '2009AJ....137..367O', '2009ApJ...700..654E', '2009ApJ...705..226D', '2009MNRAS.394..693M', '2009MNRAS.395..855M', '2009PASA...26...11D', '2009RMxAA..45..107B', '2009arXiv0912.3781P', '2010ApJ...711..619M', '2010ApJ...724..791P', '2010IAUS..268...91P', '2010MNRAS.405.2651M', '2010arXiv1004.0756C', '2011A&A...526A..48S', '2011MNRAS.415..181F', '2011MNRAS.417..420M', '2011RMxAA..47..139C', '2011RMxAC..39....1P', '2012A&A...538A..64C', '2012ApJ...746..115P', '2012ApJ...756L..14P', '2012EAS....54..319S', '2012MNRAS.421.3399N', '2012MNRAS.422.3460S', '2012MNRAS.426..614M', '2012MNRAS.426.2318E', '2012MNRAS.426.2630L', '2013A&A...558A.122G', '2013ApJ...778...89P', '2013MNRAS.433..382E', '2013pss5.book..115K', '2014A&A...571A..93G', '2014AJ....147..131P', '2014ApJ...782...35S', '2014ApJ...785..100M', '2014MNRAS.440...89K', '2014MNRAS.443..624E', '2015ApJ...803...99C', '2015MNRAS.448.1584L', '2015MNRAS.452.2606G', '2015MNRAS.453.1281B', '2016MNRAS.455.4057M', '2016MNRAS.456.3855D', '2017ApJ...841....3L', '2017ApJ...847..107P', '2017MNRAS.466.4403N', '2017MNRAS.467.3759T', '2017MNRAS.471.1341M', '2017PASP..129h2001P', '2017RMxAA..53...95E', '2017hsa9.conf..263T', '2018MNRAS.473.4476G', '2018MNRAS.481..268T', '2019A&A...624A..21G', '2019ApJ...882..135Z', '2019MNRAS.489.1249L', '2019arXiv190501244P', '2020ApJ...892...19H', '2020ApJ...894..138S', '2020MNRAS.496.1051A', '2021ApJ...907...29C', '2021ApJ...918...27M', '2021MNRAS.502.1703M', '2021MNRAS.508..371A', '2022MNRAS.513..807D']	247	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['line identification']	('Escalante, V.', 90)	
1996AAS...189.4603P	['Echelle Spectrophotometry of the Orion Nebula']	['Peimbert, M.', 'Esteban, C.', 'Torres-Peimbert, S.', 'Escalante, V.']	['IAUNAM', 'IAC', 'IAUNAM', 'IAUNAM']	1996	American Astronomical Society Meeting Abstracts	189	['46.03']	1996-12-00	1996-12-01T00:00:00Z	['AAS', 'AAS...189']	['1998ApJ...492..650B']	1	abstract		['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	
