bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2022SPIE12190E..1OL	['The TolTEC camera: polarimetric commissioning and performance of the continuously rotating half-wave plate']	['Lee, Dennis', 'Novak, Giles', 'Berthoud, Marc', 'Bussan, John', 'Golenia, Robert', 'Van Clepper, Eric', 'Wilson, Grant', 'DeNigris, N. S.', 'Ma, Zhiyuan', 'McCrackan, Michael', 'Souccar, Kamal', 'Fissel, Laura', 'Bij, Akanksha', 'Thiel, Felix', 'Aretxaga, Itziar', 'Ferrusca, Daniel', 'Mauskopf, Philip', 'Lunde, Emily', 'Ade, Peter', 'Tucker, Carole', 'Pisano, Giampaolo', 'Cox, Erin G.', 'Sabin, Laurence', 'Carrasco-Gonzalez, Carlos', 'Pasetto, Alice', 'Gómez-Ruiz, Arturo', 'Hull, Chat', 'Austermann, Jason', 'Beall, James', 'Gao, Jiansong', 'Vissers, Michael']	"['Northwestern Univ. (United States)', 'Northwestern Univ. (United States)', 'Northwestern Univ. (United States)', 'Northwestern Univ. (United States)', 'Northwestern Univ. (United States)', 'Northwestern Univ. (United States)', 'Univ. of Massachusetts Amherst (United States)', 'Univ. of Massachusetts Amherst (United States)', 'Univ. of Massachusetts Amherst (United States)', 'Univ. of Massachusetts Amherst (United States)', 'Univ. of Massachusetts Amherst (United States)', ""Queen's Univ. (Canada)"", ""Queen's Univ. (Canada)"", ""Queen's Univ. (Canada)"", 'Instituto Nacional de Astrofísica, Óptica y Electrónica (Mexico)', 'Instituto Nacional de Astrofísica, Óptica y Electrónica (Mexico)', 'Arizona State Univ. (United States)', 'Arizona State Univ. (United States)', 'Cardiff Univ. (United Kingdom)', 'Cardiff Univ. (United Kingdom)', 'La Sapienza Univ. of Rome (Italy)', 'Northwestern Univ. (United States)', 'Univ. Nacional Autónoma de México (Mexico)', 'Univ. Nacional Autónoma de México (Mexico)', 'Univ. Nacional Autónoma de México (Mexico)', 'Instituto Nacional de Astrofísica, Óptica y Electrónica (Mexico)', 'National Astronomical Observatory of Japan (Japan)', 'National Institute of Standards and Technology (United States)', 'National Institute of Standards and Technology (United States)', 'National Institute of Standards and Technology (United States)', 'National Institute of Standards and Technology (United States)']"	2022	Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy XI	12190	['121901O']	2022-08-00	2022-08-01T00:00:00Z	['SPIE', 'SPIE12190']		0	inproceedings		['ARTICLE', 'ESOURCE', 'NOT REFEREED', 'TOC']	('Pasetto, Alice', 100)	
2021ApJ...923L...5P	"[""Reading M87's DNA: A Double Helix Revealing a Large-scale Helical Magnetic Field""]"	"['Pasetto, Alice', 'Carrasco-González, Carlos', 'Gómez, José L.', 'Martí, José-Maria', 'Perucho, Manel', ""O'Sullivan, Shane P."", 'Anderson, Craig', 'Díaz-González, Daniel Jacobo', 'Fuentes, Antonio', 'Wardle, John']"	"['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astrofísica de Andalucía (IAA-CSIC), Glorieta de la Astronomía s/n, E-18008 Granada, Spain', ""Departament d'Astronomia i Astrofísica, Universitat de València, E-46100 Burjassot (València), Spain; Observatori Astronòmic, Universitat de València, E-46980 Paterna (València), Spain"", ""Departament d'Astronomia i Astrofísica, Universitat de València, E-46100 Burjassot (València), Spain; Observatori Astronòmic, Universitat de València, E-46980 Paterna (València), Spain"", 'School of Physical Sciences and Centre for Astrophysics &amp; Relativity, Dublin City University, Glasnevin, D09 W6Y4, Ireland', 'Jansky Fellow of the National Radio Astronomy Observatory, 1003 Lopezville Road, Socorro, NM 87801 USA; CSIRO Astronomy and Space Science, P.O. Box 1130, Bentley, WA 6102, Australia; ATNF, CSIRO Astronomy and Space Science, P.O. Box 76, Epping, NSW 1710, Australia', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astrofísica de Andalucía (IAA-CSIC), Glorieta de la Astronomía s/n, E-18008 Granada, Spain', 'Physics Department, Brandeis University, Waltham, MA 02453, USA']"	2021	The Astrophysical Journal	923	['L5']	2021-12-00	2021-12-01T00:00:00Z	['ApJL', 'ApJL..923']	['2022arXiv220605803S']	1	article	['-', '-', '-', '-', '-', '0000-0002-3968-3051', '-', '0000-0002-6325-8717', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	('0000-0002-3968-3051', 65)
2021Galax...9...56P	['Message in a Bottle: Unveiling the Magneto-Ionic Complexity of AGNs through the Stokes QU-Fitting Technique']	['Pasetto, Alice']	['Instituto de Radioastronomia y Astrofisica (IRyA-UNAM), 3-72 (Xangari), Morelia 58190, Mexico; Consejo Nacional de Ciencia y Tecnologia (CONACyT), Av. Insurgentes Sur 1582, Col. Credito Constructor, Alcaldia Benito Juarez, Ciudad de Mexico 03940, Mexico']	2021	Galaxies	9	['56']	2021-08-00	2021-08-01T00:00:00Z	['Galax', 'Galax...9']	['2021ApJ...923L...5P']	1	article		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	
2021yCat..18840011G	['VizieR Online Data Catalog: Exploring 6 AGN dusty torus models. II. (Gonzalez-Martin+, 2019)']	['Gonzalez-Martin, O.', 'Masegosa, J.', 'Garcia-Bernete, I.', 'Ramos Almeida, C.', 'Rodriguez-Espinosa, J. M.', 'Marquez, I.', 'Esparza-Arredondo, D.', 'Osorio-Clavijo, N.', 'Martinez-Paredes, M.', 'Victoria-Ceballos, C.', 'Pasetto, A.', 'Dultzin, D.']	['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	2021	VizieR Online Data Catalog		['J/ApJ/884/11']	2021-03-00	2021-03-01T00:00:00Z	['yCat', 'yCat..188']		0	catalog		['ASSOCIATED', 'DATA', 'NONARTICLE', 'NOT REFEREED']	('Pasetto, A.', 84)	
2020ApJ...905...29E	['Active Galactic Nucleus Ghosts: A Systematic Search for Faded Nuclei']	['Esparza-Arredondo, Donaji', 'Osorio-Clavijo, Natalia', 'González-Martín, Omaira', 'Victoria-Ceballos, César', 'Haro-Corzo, Sinhué A. R.', 'Reyes-Amador, Omar Ulises', 'López-Sánchez, Jafet', 'Pasetto, Alice']	['Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Escuela Nacional de Estudios Superiores (ENES-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Escuela Nacional de Estudios Superiores (ENES-UNAM) 3-72 (Xangari), 8701 Morelia, México', 'Instituto de Radioastronomía and Astrofísica (IRyA-UNAM) 3-72 (Xangari), 8701 Morelia, México']	2020	The Astrophysical Journal	905	['29']	2020-12-00	2020-12-01T00:00:00Z	['ApJ', 'ApJ...905']	['2021MNRAS.508.2019B', '2022A&A...658A..12J', '2022ApJ...936..162S', '2022arXiv220812286P', '2022arXiv220910580I']	5	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	
2019ApJ...886..125E	['Physical Parameters of the Torus for the Type 2 Seyfert IC 5063 from Mid-IR and X-Ray Simultaneous Spectral Fitting']	['Esparza-Arredondo, Donaji', 'González-Martín, Omaira', 'Dultzin, Deborah', 'Ramos Almeida, Cristina', 'Fritz, Jacopo', 'Masegosa, Josefa', 'Pasetto, Alice', 'Martínez-Paredes, Mariela', 'Osorio-Clavijo, Natalia', 'Victoria-Ceballos, Cesar']	['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astronomía (IA-UNAM), Mexico city, Mexico', 'Instituto de Astrofísica de Canarias (IAC), C/Vía Láctea, s/n, E-38205 LaLaguna, Spain ; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38205 La Laguna, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astrofísica de Andalucía (CSIC), Glorieta de la Astronomía s/n E-18008, Granda, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico']	2019	The Astrophysical Journal	886	['125']	2019-12-00	2019-12-01T00:00:00Z	['ApJ', 'ApJ...886']	['2021A&A...651A..91E', '2021A&A...652A..98G', '2021ApJ...916...90B', '2021ApJ...922..157M', '2022ApJ...926..192V', '2022MNRAS.510.5102O', '2022MNRAS.511.5768A']	7	article	['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	('-', 0)
2019ApJ...884...10G	['Exploring the Mid-infrared SEDs of Six AGN Dusty Torus Models. I. Synthetic Spectra']	['González-Martín, Omaira', 'Masegosa, Josefa', 'García-Bernete, Ismael', 'Ramos Almeida, Cristina', 'Rodríguez-Espinosa, José Miguel', 'Márquez, Isabel', 'Esparza-Arredondo, Donaji', 'Osorio-Clavijo, Natalia', 'Martínez-Paredes, Mariela', 'Victoria-Ceballos, César', 'Pasetto, Alice', 'Dultzin, Deborah']	['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astrofísica de Andalucía, CSIC, Glorieta de la Astronomía s/n E-18008, Granada, Spain', 'Instituto de Física de Cantabria (CSIC-UC), Avenida de los Castros, E-39005 Santander, Spain', 'Instituto de Astrofísica de Canarias (IAC), C/Vía Láctea, s/n, E-38205 La Laguna, Spain ; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38205 La Laguna, Spain', 'Instituto de Astrofísica de Canarias (IAC), C/Vía Láctea, s/n, E-38205 La Laguna, Spain ; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38205 La Laguna, Spain', 'Instituto de Astrofísica de Andalucía, CSIC, Glorieta de la Astronomía s/n E-18008, Granada, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico; Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astronomía (IA-UNAM), Apartado Postal 70-264, 04510, Mexico DF, Mexico']	2019	The Astrophysical Journal	884	['10']	2019-10-00	2019-10-01T00:00:00Z	['ApJ', 'ApJ...884']	['2019ApJ...884...11G', '2019ApJ...886..125E', '2020ApJ...890..152M', '2020ApJ...897...26W', '2020ApJ...900....5K', '2020ApJ...901..168A', '2021A&A...651A..91E', '2021ApJ...919..136N', '2021ApJ...922..157M', '2021IAUS..356...29S', '2021MNRAS.507.3070S', '2022ApJ...926..192V', '2022MNRAS.509.5485S', '2022MNRAS.510..687R']	14	article	['-', '-', '-', '-', '-', '0000-0003-2629-1945', '-', '-', '-', '-', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	('0000-0003-2629-1945', 70)
2019ApJ...884...11G	['Exploring the Mid-infrared SEDs of Six AGN Dusty Torus Models. II. The Data']	['González-Martín, Omaira', 'Masegosa, Josefa', 'García-Bernete, Ismael', 'Ramos Almeida, Cristina', 'Rodríguez-Espinosa, José Miguel', 'Márquez, Isabel', 'Esparza-Arredondo, Donaji', 'Osorio-Clavijo, Natalia', 'Martínez-Paredes, Mariela', 'Victoria-Ceballos, César', 'Pasetto, Alice', 'Dultzin, Deborah']	['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astrofísica de Andalucía, CSIC, Glorieta de la Astronomía s/n E-18008, Granada, Spain', 'Instituto de Física de Cantabria (CSIC-UC), Avenida de los Castros, E-39005 Santander, Spain', 'Instituto de Astrofísica de Canarias (IAC), C/Vía Láctea, s/n, E-38205 La Laguna, Spain ; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38205 La Laguna, Spain', 'Instituto de Astrofísica de Canarias (IAC), C/Vía Láctea, s/n, E-38205 La Laguna, Spain ; Departamento de Astrofísica, Universidad de La Laguna (ULL), E-38205 La Laguna, Spain', 'Instituto de Astrofísica de Andalucía, CSIC, Glorieta de la Astronomía s/n E-18008, Granada, Spain', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico; Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon, (34055), Republic of Korea', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Astronomía (IA-UNAM), Apartado Postal 70-264, 04510, Mexico DF, Mexico']	2019	The Astrophysical Journal	884	['11']	2019-10-00	2019-10-01T00:00:00Z	['ApJ', 'ApJ...884']	['2019ApJ...884...10G', '2019ApJ...884..171H', '2019ApJ...886..125E', '2020ApJ...890..152M', '2020ApJ...897...26W', '2020ApJ...901..168A', '2020ApJ...905...29E', '2021A&A...651A..91E', '2021A&A...652A..98G', '2021A&A...652A..99A', '2021ApJ...910..104I', '2021ApJ...912..126L', '2021ApJ...919..136N', '2021ApJ...922..157M', '2021MNRAS.503.5877S', '2021MNRAS.507.3070S', '2022A&A...658A..12J', '2022A&A...659A..32P', '2022ApJ...925..215P', '2022ApJ...926..192V', '2022MNRAS.510..687R', '2022Univ....8..304L']	22	article	['-', '-', '-', '-', '-', '0000-0003-2629-1945', '-', '-', '-', '-', '-', '-']	['ARTICLE', 'ASSOCIATED', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	('0000-0003-2629-1945', 70)
2019MNRAS.485.3600A	['Blazar jet evolution revealed by multi-epoch broad-band radio polarimetry']	"['Anderson, C. S.', ""O'Sullivan, S. P."", 'Heald, G. H.', 'Hodgson, T.', 'Pasetto, A.', 'Gaensler, B. M.']"	['CSIRO Astronomy &amp; Space Science, 26 Dick Perry Avenue, Kensington, WA 6151, Australia', 'Hamburger Sternwarte, Universität Hamburg, Gojenbergsweg 112, D-21029 Hamburg, Germany', 'CSIRO Astronomy &amp; Space Science, 26 Dick Perry Avenue, Kensington, WA 6151, Australia', 'CSIRO Astronomy &amp; Space Science, 26 Dick Perry Avenue, Kensington, WA 6151, Australia; International Centre for Radio Astronomy Research - Curtin University, GPO Box U1987, Perth, WA 6845, Australia', 'Istituto de Radioastronomía y Astrofísica (IRyA-UNAM), Antigua Carretera a Pátzcuaro, 58341 Morelia, Michoacán, Mexico', 'Dunlap Institute for Astronomy and Astrophysics, 50 St. George Street, Toronto, ON M5S 3H4, Canada']	2019	Monthly Notices of the Royal Astronomical Society	485	['3600']	2019-05-00	2019-05-01T00:00:00Z	['MNRAS', 'MNRAS.485']	['2019MNRAS.487.3454M', '2020ApJ...894...38P', '2020ApJ...905..160B', '2020Galax...8...22A', '2020MNRAS.497.3097M', '2020PASA...37...29R', '2021A&A...648A..12H', '2021ApJ...909...73J', '2021ApJ...920...45W', '2021Galax...9...56P', '2021MNRAS.500..576L', '2021MNRAS.507.3495T']	12	article	['-', '0000-0002-3968-3051', '0000-0002-2155-6054', '0000-0003-3443-7123', '-', '0000-0002-3382-9558']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, A.', 84)	('0000-0003-3443-7123', 74)
2019ApJ...872...69P	['AGN Torus Detectability at Submillimeter Wavelengths: What to Expect from ALMA Continuum Data']	['Pasetto, Alice', 'González-Martín, Omaira', 'Esparza-Arredondo, Donaji', 'Osorio-Clavijo, Natalia', 'Victoria-Ceballos, César Ivan', 'Martínez-Paredes, Mariela']	['Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA-UNAM), 3-72 (Xangari), 8701, Morelia, Mexico; Korea Astronomy and Space Science Institute 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea']	2019	The Astrophysical Journal	872	['69']	2019-02-00	2019-02-01T00:00:00Z	['ApJ', 'ApJ...872']	['2019A&A...628A..65A', '2019A&A...632A..61G', '2019ApJ...884...11G', '2019ApJ...886..125E', '2019ApJ...887...24T', '2019MNRAS.485.5377F', '2020A&A...639A..43A', '2020ApJ...891L..33I', '2021A&A...651A..91E', '2021A&A...652A..98G', '2021A&A...652A..99A', '2021Galax...9...36I', '2022ApJ...926..192V', '2022arXiv220700102E']	14	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Pasetto, Alice', 100)	
